dataset,seed,n_rules,total_importance,top25_mass,top50_mass,top100_mass,top200_mass,top400_mass,top25_share,top50_share,top100_share,top200_share,top400_share,boundary_100,boundary_200,boundary_400
covtype_binary_20000,19,936,13918.95736822567,3326.921173095703,5302.834915161133,7761.955623626709,10709.113763809204,13238.236854076385,0.23902086090804694,0.38097932013690156,0.5576535237722458,0.7693905139946813,0.9510940010705657,41.03866958618164,21.78316307067871,5.712510585784912
covtype_binary_20000,23,936,6604.336234340875,1740.7924537658691,2650.341209411621,3891.0254821777344,5287.945125579834,6327.459979534149,0.2635832568175723,0.40130319162590755,0.5891622328289992,0.8006777574533318,0.9580765961964445,19.619945526123047,9.8939790725708,2.353217840194702
covtype_binary_20000,29,936,5857.035064300311,1426.9152336120605,2203.6973304748535,3278.3783073425293,4513.113648414612,5538.015471696854,0.2436241576065281,0.37624793197957573,0.5597334267853096,0.7705457793693018,0.9455322378812551,17.099878311157227,8.632546424865723,2.6554176807403564
