budget,n_seeds,n_rule_universe,stability_top_k,current_budget_prune_pairwise_jaccard,stable_loo_pairwise_jaccard,stable_loo_importance_retention_mean,stable_loo_jaccard_to_heldout_topb_mean,stable_global_importance_retention_mean,std_penalty,stability_top_k_multiplier
100,3,921,100,0.28865543307496105,0.519124150703098,0.6914333642877745,0.3320358575135645,0.8701254230865111,0.0,1.0
200,3,921,200,0.3939443687074473,0.6179039905841239,0.7681313314763003,0.4371913956944212,0.8953603740031436,0.0,1.0
400,3,921,400,0.6383640534895365,0.8268875411732555,0.927801446971492,0.6865993498202135,0.9750565268084871,0.0,1.0
100,3,921,150,0.28865543307496105,0.5190648376666858,0.6988383778830224,0.3323311842978821,0.8608318782660911,0.0,1.5
200,3,921,300,0.3939443687074473,0.6175540365864236,0.7570565712349614,0.42902657708809105,0.8973703340741688,0.0,1.5
400,3,921,600,0.6383640534895365,0.8336047761086696,0.9228907910135031,0.6949355422973084,0.9738604122650976,0.0,1.5
100,3,921,200,0.28865543307496105,0.4639612272261302,0.6723040418192673,0.31430305472182624,0.8592816308425238,0.0,2.0
200,3,921,400,0.3939443687074473,0.617398555972524,0.763325188806141,0.43553480920028964,0.8985879817671137,0.0,2.0
400,3,921,800,0.6383640534895365,0.8421744592470091,0.9245761328270846,0.6973602255730554,0.9740207027131926,0.0,2.0
100,3,921,300,0.28865543307496105,0.5075567707146654,0.6996601809184542,0.34076384076384075,0.864590144578526,0.0,3.0
200,3,921,600,0.3939443687074473,0.6284448416524392,0.7714834999666726,0.44409351070583164,0.8986889734902006,0.0,3.0
400,3,921,921,0.6383640534895365,0.8296175858252608,0.9284343764989069,0.6889631645444155,0.9765552280502855,0.0,3.0
100,3,921,400,0.28865543307496105,0.5229794980698959,0.6997940225839352,0.3377406833782673,0.8684908521926616,0.0,4.0
200,3,921,800,0.3939443687074473,0.6178261091524102,0.770703832922145,0.44063003739663603,0.9000633927033966,0.0,4.0
400,3,921,921,0.6383640534895365,0.8296175858252608,0.9284343764989069,0.6889631645444155,0.9765552280502855,0.0,4.0
