dataset,seed,budget,method,sufficiency_f1,sufficiency_bce,fidelity_l1_to_full_prob,agreement_to_full,deletion_delta_bce,deletion_delta_f1,selected_rules_count,selected_rules_hash,removed_contribution_l1_mean,bce_full,bce_without,f1_full,f1_without,deletion_head_mode,deletion_head_ridge_alpha,surrogate_fidelity_to_full_prob,surrogate_agreement_to_full,effective_selected_rules
covtype_binary_20000,19,25,budget_prune,0.7376464595007641,0.5243590855715884,0.07999266019438091,0.92825,0.057280902624139984,0.11689443878559502,25,9c5c13b65481,0.507690220744225,0.505393075606211,0.562673978230351,0.750458235140089,0.633563796354494,ridge,1.0,0.006491301017337342,0.9905,25
covtype_binary_20000,19,25,loro_bce,0.7703883495145631,0.4982911835596999,0.07101172989120502,0.92075,0.32045581909292686,0.7412792448290233,25,104126ce5754,1.4216209140623934,0.505393075606211,0.8258488946991379,0.750458235140089,0.009178990311065782,ridge,1.0,0.006491301017337342,0.9905,25
covtype_binary_20000,19,25,c_prune_loro_bce,0.7708129285014691,0.49350570447312486,0.06011114235353805,0.93375,0.12054404627457715,0.24829373297558688,25,f3cb2ebf7ffd,0.8542399839636415,0.505393075606211,0.6259371218807882,0.750458235140089,0.5021645021645021,ridge,1.0,0.006491301017337342,0.9905,25
covtype_binary_20000,19,50,budget_prune,0.7452277933316366,0.5136418938879503,0.06976436050787242,0.932,0.05105252343251887,0.09705958235380607,50,20c89174d47e,0.4581725394139944,0.505393075606211,0.5564455990387299,0.750458235140089,0.653398652786283,ridge,1.0,0.006491301017337342,0.9905,50
covtype_binary_20000,19,50,loro_bce,0.7714215565921925,0.494310926708949,0.06244148705039741,0.938,0.5577859624806674,0.750458235140089,50,0e2848295639,1.984084763352298,0.505393075606211,1.0631790380868784,0.750458235140089,0.0,ridge,1.0,0.006491301017337342,0.9905,50
covtype_binary_20000,19,50,c_prune_loro_bce,0.7736080451312239,0.4890363224622482,0.06081234614126592,0.9365,0.13149951243704106,0.2850307258464087,50,f54a106905c5,0.9006688606308131,0.505393075606211,0.6368925880432521,0.750458235140089,0.4654275092936803,ridge,1.0,0.006491301017337342,0.9905,50
covtype_binary_20000,19,100,budget_prune,0.7547363031233999,0.5029676213916727,0.064618057064467,0.94925,0.04154886176287975,0.06578413061865629,100,b65416e11307,0.41210730984862587,0.505393075606211,0.5469419373690908,0.750458235140089,0.6846741045214327,ridge,1.0,0.006491301017337342,0.9905,100
covtype_binary_20000,19,100,loro_bce,0.773109243697479,0.4904854025991309,0.06062250500992265,0.93875,0.7481271818049346,0.750458235140089,100,55630cedd807,2.393002291378449,0.505393075606211,1.2535202574111457,0.750458235140089,0.0,ridge,1.0,0.006491301017337342,0.9905,100
covtype_binary_20000,19,100,c_prune_loro_bce,0.7756410256410257,0.488166891269788,0.0608971384211422,0.94025,0.12945080275152177,0.2837172466599701,77,99aa6b9f117e,0.8897809754584334,0.505393075606211,0.6348438783577328,0.750458235140089,0.4667409884801189,ridge,1.0,0.006491301017337342,0.9905,77
covtype_binary_20000,23,25,budget_prune,0.7523495046990094,0.512138939925642,0.07843602432397756,0.89975,0.004973940621918027,0.006643642737729438,25,73e1e7a84001,0.2032393717806641,0.479966098532983,0.484940039154901,0.7765160666827736,0.7698724239450442,ridge,1.0,0.006446375938526172,0.99225,25
covtype_binary_20000,23,25,loro_bce,0.7603099225193701,0.49301927711446,0.06690744650416525,0.92825,0.0829769337086037,0.009045184819212904,25,56eaafd5eb00,0.8197223388565165,0.479966098532983,0.5629430322415867,0.7765160666827736,0.7674708818635607,ridge,1.0,0.006446375938526172,0.99225,25
covtype_binary_20000,23,25,c_prune_loro_bce,0.7761776909934098,0.47055574224183383,0.03788229308023451,0.95975,0.051474768976285556,0.0020443116159344354,25,6dde156ade3b,0.6445261106803429,0.479966098532983,0.5314408675092686,0.7765160666827736,0.7744717550668392,ridge,1.0,0.006446375938526172,0.99225,25
covtype_binary_20000,23,50,budget_prune,0.7553865652724968,0.505126273569611,0.06759924208629227,0.91225,0.00794216951655824,0.010156275689989336,50,25ded5285cd1,0.2601204094419038,0.479966098532983,0.48790826804954124,0.7765160666827736,0.7663597909927843,ridge,1.0,0.006446375938526172,0.99225,50
covtype_binary_20000,23,50,loro_bce,0.7758578729617912,0.4731292975651575,0.04263714113880272,0.94875,0.15623642132798032,0.030183189702527202,50,b02cc59eb18a,1.1745447992460532,0.479966098532983,0.6362025198609633,0.7765160666827736,0.7463328769802464,ridge,1.0,0.006446375938526172,0.99225,50
covtype_binary_20000,23,50,c_prune_loro_bce,0.7792781733366069,0.46638901752007017,0.04000478676384353,0.95725,0.05922904546739216,0.0029432636038768667,50,77317e2c76b0,0.7025970890732149,0.479966098532983,0.5391951440003752,0.7765160666827736,0.7735728030788968,ridge,1.0,0.006446375938526172,0.99225,50
covtype_binary_20000,23,100,budget_prune,0.7613550815558344,0.4911897352971655,0.056818050872978546,0.92675,0.00912958089470528,0.008516066682773604,100,01e63eeb7a4e,0.29697655839897247,0.479966098532983,0.4890956794276883,0.7765160666827736,0.768,ridge,1.0,0.006446375938526172,0.99225,100
covtype_binary_20000,23,100,loro_bce,0.7750305997552019,0.46849289743912426,0.04104114720275412,0.95725,0.2947750503408719,0.08033395519325937,100,6c4a09d18f94,1.6383411114728657,0.479966098532983,0.7747411488738549,0.7765160666827736,0.6961821114895143,ridge,1.0,0.006446375938526172,0.99225,100
