dataset,seed,best_C,n_nonzero,val_f1,test_f1,f1,roc_auc,pr_auc
covtype_binary_20000,19,1.0,109,0.8156123822341858,0.7865168539325843,0.7865168539325843,0.8666414008755473,0.839870133889229
covtype_binary_20000,23,0.1,55,0.8052980132450331,0.7942366026289182,0.7942366026289182,0.8784085053158226,0.8565246620410384
covtype_binary_20000,29,1.0,111,0.8291873963515755,0.8007958219348421,0.8007958219348421,0.8703829893683553,0.8445186695230124
