budget,n_seeds,n_rule_universe,stability_top_k,current_budget_prune_pairwise_jaccard,stable_loo_pairwise_jaccard,stable_loo_importance_retention_mean,stable_loo_jaccard_to_heldout_topb_mean,stable_global_importance_retention_mean,std_penalty,stability_top_k_multiplier
100,3,921,300,0.28865543307496105,0.5075567707146654,0.6996601809184542,0.34076384076384075,0.864590144578526,0.0,3.0
200,3,921,600,0.3939443687074473,0.6284448416524392,0.7714834999666726,0.44409351070583164,0.8986889734902006,0.0,3.0
400,3,921,921,0.6383640534895365,0.8296175858252608,0.9284343764989069,0.6889631645444155,0.9765552280502855,0.0,3.0
