dataset,seed,budget,method,corr_threshold,n_clusters,effective_selected_rules,f1,roc_auc,pr_auc,fidelity,agreement
covtype_binary_20000,1,25,budget_prune,na,,25,0.745839636913767,0.8176490306441526,0.7671886077772614,0.1619663542720707,0.8415
covtype_binary_20000,1,25,loro_bce,na,,25,0.5824359894711654,0.5871629768605379,0.5387846614095053,0.3189585125150918,0.58675
covtype_binary_20000,1,25,c_prune_loro_bce,0.75,90,25,0.7670961347869177,0.8366766729205753,0.8031403942126609,0.1308292278848664,0.882
covtype_binary_20000,1,25,c_prune_loro_bce,0.85,100,25,0.7670961347869177,0.8366766729205753,0.8031403942126609,0.1308292278848664,0.882
covtype_binary_20000,1,25,c_prune_loro_bce,0.9,109,25,0.7457291408764546,0.811505190744215,0.785115952833806,0.17171886834167163,0.83475
covtype_binary_20000,1,50,budget_prune,na,,50,0.756319514661274,0.8295887429643527,0.7873209162258162,0.15275221019089447,0.8545
covtype_binary_20000,1,50,loro_bce,na,,50,0.7656174334140435,0.8256097560975609,0.784150187949889,0.1477163049481721,0.8585
covtype_binary_20000,1,50,c_prune_loro_bce,0.75,90,50,0.7884568354120812,0.8636047529706067,0.8358901118424817,0.09524576331605526,0.90825
covtype_binary_20000,1,50,c_prune_loro_bce,0.85,100,50,0.7863792258696717,0.8633073170731708,0.8351660755923629,0.0955713428319136,0.9085
covtype_binary_20000,1,50,c_prune_loro_bce,0.9,109,50,0.7892156862745098,0.8652815509693559,0.8371200898901219,0.09252113614669318,0.9125
covtype_binary_20000,1,100,budget_prune,na,,100,0.7632776934749621,0.8381008130081302,0.8037367929388525,0.14196404483388608,0.867
covtype_binary_20000,1,100,loro_bce,na,,100,0.7825873093949828,0.8608195121951219,0.8357348070275724,0.10288258397104875,0.9035
covtype_binary_20000,1,100,c_prune_loro_bce,0.75,90,90,0.7917282127031019,0.8707927454659162,0.8489947421302756,0.08669888000480185,0.9105
covtype_binary_20000,1,100,c_prune_loro_bce,0.85,100,100,0.7927039684495933,0.8711937460913072,0.8485507288561591,0.08301212203526434,0.91775
covtype_binary_20000,1,100,c_prune_loro_bce,0.9,109,100,0.7974465995580653,0.8741160725453407,0.8528917513733951,0.08035336472049312,0.91775
covtype_binary_20000,7,25,budget_prune,na,,25,0.7396494792989586,0.8091071919949968,0.7535265023300532,0.1819101474033699,0.8135
covtype_binary_20000,7,25,loro_bce,na,,25,0.4858725761772853,0.5395594746716698,0.518340440600619,0.32796842228844175,0.53575
covtype_binary_20000,7,25,c_prune_loro_bce,0.75,91,25,0.6784850926672039,0.7762228893058161,0.7574050895174547,0.20217985416648654,0.758
covtype_binary_20000,7,25,c_prune_loro_bce,0.85,101,25,0.6784850926672039,0.7762228893058161,0.7574050895174547,0.20217985416648654,0.758
