dataset,budget,seed,method,f1,roc_auc,pr_auc,elapsed_sec,status
covtype_binary_20000,100,19,rulefit,0.7426852611430134,0.8510909318323951,0.8254960120158858,16.662670373916626,complete
covtype_binary_20000,100,23,rulefit,0.7515019115237576,0.86139287054409,0.8396118243893091,18.105038166046143,complete
covtype_binary_20000,100,29,rulefit,0.7464324917672887,0.8560360225140714,0.8354716424715912,16.797409057617188,complete
covtype_binary_20000,200,19,rulefit,0.7363238512035011,0.8501408380237647,0.8242608719815907,49.04401350021362,complete
covtype_binary_20000,200,23,rulefit,0.7583783783783784,0.8618446529080676,0.8367580053390016,65.47072196006775,complete
covtype_binary_20000,200,29,rulefit,0.7421211290764593,0.856072545340838,0.8352709747404508,43.27909541130066,complete
covtype_binary_20000,400,19,rulefit,0.7334789732386674,0.845457410881801,0.818598565500358,746.122163772583,complete
covtype_binary_20000,400,23,rulefit,0.7592542556065928,0.8607357098186367,0.8340613385213176,514.2272551059723,complete
covtype_binary_20000,400,29,rulefit,0.7427012278308321,0.8536342714196372,0.8293511689877393,597.6017279624939,complete
