dataset,method,budget,n_seeds,active_rule_jaccard,hidden_active_rule_jaccard,decision_active_rule_jaccard
covtype_binary_20000,budget_prune,6,3,0.030303030303030304,0.030303030303030304,1.0
covtype_binary_20000,budget_prune,7,3,0.05555555555555555,0.05555555555555555,1.0
covtype_binary_20000,budget_prune,8,3,0.047619047619047616,0.047619047619047616,1.0
covtype_binary_20000,budget_prune,10,3,0.07407407407407407,0.07407407407407407,1.0
covtype_binary_20000,budget_prune,12,3,0.11146245059288538,0.11146245059288538,1.0
covtype_binary_20000,budget_prune,16,3,0.14383020130146565,0.14383020130146565,1.0
covtype_binary_20000,budget_prune,17,3,0.1724137931034483,0.1724137931034483,1.0
covtype_binary_20000,gate_l1,25,3,0.27136752136752135,0.27136752136752135,1.0
covtype_binary_20000,gate_l1,50,3,0.4374970360885854,0.4374970360885854,1.0
covtype_binary_20000,gate_l1,100,3,0.32571703352102627,0.32571703352102627,1.0
covtype_binary_20000,gate_l1,200,3,0.24263205710058977,0.24263205710058977,1.0
covtype_binary_20000,gate_l1,400,3,0.28154859650528574,0.28154859650528574,1.0
