architecture,dataset,method,budget,f1,meta_jaccard,rule_jaccard,mean_pairwise_corr,meta_threshold
Routed KAFN,Covtype-20k,Budget-Prune,100,0.7584198859496039,0.6501831501831502,0.30963846494273173,0.14579139566433913,0.75
Routed KAFN,Covtype-20k,LORO-BCE,100,0.7718612475821373,0.4873015873015873,0.20035641456171022,0.17421992721209406,0.75
Routed KAFN,Covtype-20k,C-Prune (tau=0.75),100,0.7778546725837948,0.7095516569200779,0.07998516194329626,0.11677828420411744,0.75
ANFIS (standalone),Breast Cancer,Budget-Prune,100,0.9793413985549082,0.7731481481481481,0.3486590038314176,0.7221325662097832,0.90
ANFIS (standalone),Breast Cancer,LORO-BCE,100,0.9793413985549082,0.7592592592592593,0.34713957749330915,0.7590326031182262,0.90
ANFIS (standalone),Breast Cancer,C-Prune (tau=0.90),100,0.9816721776098252,0.6990740740740741,0.11287950664136623,0.48295773940826053,0.90
