dataset,seed,method,nominal_budget,actual_active_rules,matched_budget,f1,roc_auc,pr_auc
covtype_binary_20000,19,budget_prune,6,6.0,6,0.7484220018029334,0.8078597187995911,0.7831750175280449
covtype_binary_20000,19,budget_prune,7,7.0,7,0.7468531468526507,0.8122541904449463,0.7854143504607372
covtype_binary_20000,19,budget_prune,8,8.0,8,0.7431192660545456,0.8221728801727295,0.7934535256410257
covtype_binary_20000,19,budget_prune,10,10.0,10,0.7434849259065002,0.8230751752853394,0.7945635516826923
covtype_binary_20000,19,budget_prune,12,12.0,12,0.7437006871972599,0.8235877752304077,0.7952915915464743
covtype_binary_20000,19,budget_prune,16,16.0,16,0.742784810126082,0.8218407034873962,0.7931402118389423
covtype_binary_20000,19,budget_prune,17,17.0,17,0.747720364741141,0.8250246644020081,0.7966428160056089
covtype_binary_20000,23,budget_prune,6,6.0,6,0.7504708097923467,0.8176727890968323,0.7858284505208334
covtype_binary_20000,23,budget_prune,7,7.0,7,0.7525311984925569,0.8203801512718201,0.7887246469350961
covtype_binary_20000,23,budget_prune,8,8.0,8,0.7540351722471526,0.8238651752471924,0.7934447616185898
covtype_binary_20000,23,budget_prune,10,10.0,10,0.7555988315476996,0.8259274363517761,0.7950462615184295
covtype_binary_20000,23,budget_prune,12,12.0,12,0.7607125662007533,0.8271375298500061,0.7940889172676282
covtype_binary_20000,23,budget_prune,16,16.0,16,0.7599999999995009,0.830873966217041,0.7988321940104167
covtype_binary_20000,23,budget_prune,17,17.0,17,0.7603989297003038,0.8313097953796387,0.7994652068309295
covtype_binary_20000,29,budget_prune,6,6.0,6,0.7558084400184688,0.8226211667060852,0.7886798252203525
covtype_binary_20000,29,budget_prune,7,7.0,7,0.7613065326628164,0.832877516746521,0.7994693384415064
covtype_binary_20000,29,budget_prune,8,8.0,8,0.759332023575139,0.8278301358222961,0.7937819260817308
covtype_binary_20000,29,budget_prune,10,10.0,10,0.7616424636950433,0.8341506719589233,0.7992027869591346
covtype_binary_20000,29,budget_prune,12,12.0,12,0.7636454682018033,0.8349485397338867,0.7988032101362179
covtype_binary_20000,29,budget_prune,16,16.0,16,0.7639950678170097,0.8329095244407654,0.7947706956129807
covtype_binary_20000,29,budget_prune,17,17.0,17,0.7620221948207087,0.8329156637191772,0.7943162810496794
covtype_binary_20000,19,gate_l1,25,25.0,6/7,0.7457541191376493,0.8237018585205078,0.7926755308493589
covtype_binary_20000,19,gate_l1,50,50.0,6/7,0.7513307984785871,0.8288902640342712,0.7993067658253206
covtype_binary_20000,19,gate_l1,100,100.0,8/10,0.7509999999994998,0.825786292552948,0.7930781750801282
covtype_binary_20000,19,gate_l1,200,200.0,12,0.7615927419349836,0.8366414308547974,0.805390625
covtype_binary_20000,19,gate_l1,400,400.0,16/17,0.7648087978000497,0.837512195110321,0.8053987630208334
covtype_binary_20000,23,gate_l1,25,25.0,6/7,0.760901518862803,0.8318343758583069,0.8002776317107372
covtype_binary_20000,23,gate_l1,50,50.0,6/7,0.7651105651100656,0.8359264731407166,0.807365472255609
covtype_binary_20000,23,gate_l1,100,100.0,8/10,0.763546798029057,0.8387099504470825,0.8088363256209936
covtype_binary_20000,23,gate_l1,200,200.0,12,0.7651663405083069,0.8401473164558411,0.8101400991586538
covtype_binary_20000,23,gate_l1,400,400.0,16/17,0.7605563835067033,0.839841365814209,0.8118025090144231
covtype_binary_20000,29,gate_l1,25,25.0,6/7,0.7622360248442206,0.8321085572242737,0.7932862580128205
covtype_binary_20000,29,gate_l1,50,50.0,6/7,0.7644159684568687,0.831721842288971,0.7921570137219551
covtype_binary_20000,29,gate_l1,100,100.0,8/10,0.7639612807143177,0.8355274200439453,0.8007833158052885
covtype_binary_20000,29,gate_l1,200,200.0,12,0.7711968542634474,0.8364147543907166,0.8010843599759615
covtype_binary_20000,29,gate_l1,400,400.0,16/17,0.7738153395207514,0.8369263410568237,0.8025818184094551
