dataset,seed,subset,rule_count,mean_abs_corr,median_abs_corr,p75_abs_corr,p90_abs_corr
covtype_binary_20000,19,top_100,100,0.1566494614837956,0.09070455758331722,0.18600027504633695,0.36693497294700267
covtype_binary_20000,19,top_200,200,0.1435119973733591,0.07815988187717199,0.16148410383713002,0.3444495246722873
covtype_binary_20000,19,top_400,400,0.15456326827258174,0.0833830358484367,0.17577383977226227,0.37121663553570305
covtype_binary_20000,19,random_400,400,0.12704367161944582,0.0709011018688732,0.14926107450315482,0.27158489659057755
covtype_binary_20000,23,top_100,100,0.14341846162161392,0.08207664834238812,0.16677866591525872,0.3285043395644271
covtype_binary_20000,23,top_200,200,0.1334142752133307,0.0739435401320497,0.1545248486672067,0.2813021190900048
covtype_binary_20000,23,top_400,400,0.15100871459215953,0.08101873544337791,0.17167505245631837,0.35136323907527256
covtype_binary_20000,23,random_400,400,0.1177299349858866,0.06951681349541255,0.1373109542857352,0.24045512110667452
covtype_binary_20000,29,top_100,100,0.18100429759886094,0.09859456206302308,0.1911426227243117,0.473989273185699
covtype_binary_20000,29,top_200,200,0.14826003574496774,0.07808255855501428,0.1570587752311919,0.38870976394505546
covtype_binary_20000,29,top_400,400,0.14988648072371666,0.08133035051464735,0.1744211530294267,0.34296574365837695
covtype_binary_20000,29,random_400,400,0.11575852032293682,0.06672916550173875,0.13313038311485442,0.23893111086760477
