dataset,seed,budget,method,corr_threshold,n_clusters,effective_selected_rules,f1,roc_auc,pr_auc,fidelity,agreement
breast_cancer,19,25,budget_prune,na,,25,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020670779152438618,1.0
breast_cancer,19,25,loro_bce,na,,25,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020428700937757404,1.0
breast_cancer,19,25,c_prune_loro_bce,0.75,17,17,0.965034965034965,0.9938822751322751,0.9962898820831987,0.04996154470313501,0.9912280701754386
breast_cancer,19,25,c_prune_loro_bce,0.85,27,25,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020558981516140565,1.0
breast_cancer,19,25,c_prune_loro_bce,0.9,32,25,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.02049602418887653,1.0
breast_cancer,19,50,budget_prune,na,,50,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020663231461284112,1.0
breast_cancer,19,50,loro_bce,na,,50,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020423303170962498,1.0
breast_cancer,19,50,c_prune_loro_bce,0.75,17,17,0.965034965034965,0.9938822751322751,0.9962898820831987,0.04996154470313501,0.9912280701754386
breast_cancer,19,50,c_prune_loro_bce,0.85,27,27,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020807553060706526,1.0
breast_cancer,19,50,c_prune_loro_bce,0.9,32,32,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020739410234261003,1.0
breast_cancer,19,100,budget_prune,na,,100,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.02064721464545558,1.0
breast_cancer,19,100,loro_bce,na,,100,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.02041008306060897,1.0
breast_cancer,19,100,c_prune_loro_bce,0.75,17,17,0.965034965034965,0.9938822751322751,0.9962898820831987,0.04996154470313501,0.9912280701754386
breast_cancer,19,100,c_prune_loro_bce,0.85,27,27,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020807553060706526,1.0
breast_cancer,19,100,c_prune_loro_bce,0.9,32,32,0.9722222222222222,0.9961970899470899,0.9975205579669026,0.020739410234261003,1.0
breast_cancer,23,25,budget_prune,na,,25,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020229691735814147,1.0
breast_cancer,23,25,loro_bce,na,,25,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020149970768620237,1.0
breast_cancer,23,25,c_prune_loro_bce,0.75,8,8,0.9722222222222222,0.9923941798941799,0.995239533340326,0.039591012936275385,0.9824561403508771
breast_cancer,23,25,c_prune_loro_bce,0.85,11,11,0.9722222222222222,0.9923941798941799,0.995239533340326,0.03959455402086303,0.9824561403508771
breast_cancer,23,25,c_prune_loro_bce,0.9,14,14,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020230223766461716,1.0
breast_cancer,23,50,budget_prune,na,,50,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020228107878210225,1.0
breast_cancer,23,50,loro_bce,na,,50,0.9722222222222222,0.9917328042328042,0.994791712635239,0.02014878302220813,1.0
breast_cancer,23,50,c_prune_loro_bce,0.75,8,8,0.9722222222222222,0.9923941798941799,0.995239533340326,0.039591012936275385,0.9824561403508771
breast_cancer,23,50,c_prune_loro_bce,0.85,11,11,0.9722222222222222,0.9923941798941799,0.995239533340326,0.03959455402086303,0.9824561403508771
breast_cancer,23,50,c_prune_loro_bce,0.9,14,14,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020230223766461716,1.0
breast_cancer,23,100,budget_prune,na,,100,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020225264867245376,1.0
breast_cancer,23,100,loro_bce,na,,100,0.9722222222222222,0.9917328042328042,0.994791712635239,0.02014622350341021,1.0
breast_cancer,23,100,c_prune_loro_bce,0.75,8,8,0.9722222222222222,0.9923941798941799,0.995239533340326,0.039591012936275385,0.9824561403508771
breast_cancer,23,100,c_prune_loro_bce,0.85,11,11,0.9722222222222222,0.9923941798941799,0.995239533340326,0.03959455402086303,0.9824561403508771
breast_cancer,23,100,c_prune_loro_bce,0.9,14,14,0.9722222222222222,0.9917328042328042,0.994791712635239,0.020230223766461716,1.0
breast_cancer,29,25,budget_prune,na,,25,0.9861111111111112,0.998015873015873,0.9987387226970561,0.01803212899038946,0.9912280701754386
breast_cancer,29,25,loro_bce,na,,25,0.9861111111111112,0.998015873015873,0.9987387226970561,0.018032045237993725,0.9912280701754386
breast_cancer,29,25,c_prune_loro_bce,0.75,8,8,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04151167568930032,0.9912280701754386
breast_cancer,29,25,c_prune_loro_bce,0.85,11,11,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153347441709997,0.9912280701754386
breast_cancer,29,25,c_prune_loro_bce,0.9,15,15,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153289794779321,0.9912280701754386
breast_cancer,29,50,budget_prune,na,,50,0.9861111111111112,0.998015873015873,0.9987387226970561,0.018032591917483756,0.9912280701754386
breast_cancer,29,50,loro_bce,na,,50,0.9861111111111112,0.998015873015873,0.9987387226970561,0.018032619091262928,0.9912280701754386
breast_cancer,29,50,c_prune_loro_bce,0.75,8,8,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04151167568930032,0.9912280701754386
breast_cancer,29,50,c_prune_loro_bce,0.85,11,11,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153347441709997,0.9912280701754386
breast_cancer,29,50,c_prune_loro_bce,0.9,15,15,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153289794779321,0.9912280701754386
breast_cancer,29,100,budget_prune,na,,100,0.9861111111111112,0.998015873015873,0.9987387226970561,0.018033283629690967,0.9912280701754386
breast_cancer,29,100,loro_bce,na,,100,0.9861111111111112,0.998015873015873,0.9987387226970561,0.018033267922359732,0.9912280701754386
breast_cancer,29,100,c_prune_loro_bce,0.75,8,8,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04151167568930032,0.9912280701754386
breast_cancer,29,100,c_prune_loro_bce,0.85,11,11,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153347441709997,0.9912280701754386
breast_cancer,29,100,c_prune_loro_bce,0.9,15,15,0.9861111111111112,0.9970238095238095,0.9982225917231786,0.04153289794779321,0.9912280701754386
