dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,31,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,37,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,13,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,19,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,23,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,29,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,19,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,23,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,29,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,37,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,43,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,23,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,29,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,43,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,29,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,31,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,31,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,37,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,41,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,37,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,37,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.75,37,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.75,41,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,7,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,13,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,23,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,29,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,31,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,37,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,1,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,13,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,23,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,29,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,7,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,23,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,29,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,13,43,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,23,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,29,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,19,43,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,23,29,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,23,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,23,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.85,23,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,23,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,29,31,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.85,29,37,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.85,29,41,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,29,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,31,37,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,31,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,31,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,37,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.85,37,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.85,41,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,7,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,13,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,23,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,29,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,37,0.1111111111111111
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,1,43,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,13,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,23,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,29,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,7,43,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,19,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,23,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,29,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,31,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,13,43,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,23,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,29,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,31,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,37,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,41,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,19,43,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,23,29,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,23,31,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,23,37,0.0
covtype_binary_20000,25,c_prune_loro_bce,0.9,23,41,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,23,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,29,31,0.08695652173913043
covtype_binary_20000,25,c_prune_loro_bce,0.9,29,37,0.02040816326530612
covtype_binary_20000,25,c_prune_loro_bce,0.9,29,41,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,29,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,31,37,0.06382978723404255
covtype_binary_20000,25,c_prune_loro_bce,0.9,31,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,31,43,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,37,41,0.041666666666666664
covtype_binary_20000,25,c_prune_loro_bce,0.9,37,43,0.06382978723404255
