dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
breast_cancer,25,budget_prune,na,19,23,0.08695652173913043
breast_cancer,25,budget_prune,na,19,29,0.06382978723404255
breast_cancer,25,budget_prune,na,23,29,0.08695652173913043
breast_cancer,25,loro_bce,na,19,23,0.13636363636363635
breast_cancer,25,loro_bce,na,19,29,0.08695652173913043
breast_cancer,25,loro_bce,na,23,29,0.06382978723404255
breast_cancer,25,c_prune_loro_bce,0.75,19,23,0.041666666666666664
breast_cancer,25,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,25,c_prune_loro_bce,0.75,23,29,0.06666666666666667
breast_cancer,25,c_prune_loro_bce,0.85,19,23,0.09090909090909091
breast_cancer,25,c_prune_loro_bce,0.85,19,29,0.058823529411764705
breast_cancer,25,c_prune_loro_bce,0.85,23,29,0.047619047619047616
breast_cancer,25,c_prune_loro_bce,0.9,19,23,0.11428571428571428
breast_cancer,25,c_prune_loro_bce,0.9,19,29,0.1111111111111111
breast_cancer,25,c_prune_loro_bce,0.9,23,29,0.03571428571428571
breast_cancer,50,budget_prune,na,19,23,0.3157894736842105
breast_cancer,50,budget_prune,na,19,29,0.2345679012345679
breast_cancer,50,budget_prune,na,23,29,0.20481927710843373
breast_cancer,50,loro_bce,na,19,23,0.28205128205128205
breast_cancer,50,loro_bce,na,19,29,0.20481927710843373
breast_cancer,50,loro_bce,na,23,29,0.2345679012345679
breast_cancer,50,c_prune_loro_bce,0.75,19,23,0.041666666666666664
breast_cancer,50,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,50,c_prune_loro_bce,0.75,23,29,0.06666666666666667
breast_cancer,50,c_prune_loro_bce,0.85,19,23,0.11764705882352941
breast_cancer,50,c_prune_loro_bce,0.85,19,29,0.05555555555555555
breast_cancer,50,c_prune_loro_bce,0.85,23,29,0.047619047619047616
breast_cancer,50,c_prune_loro_bce,0.9,19,23,0.15
breast_cancer,50,c_prune_loro_bce,0.9,19,29,0.09302325581395349
breast_cancer,50,c_prune_loro_bce,0.9,23,29,0.03571428571428571
breast_cancer,100,budget_prune,na,19,23,0.6528925619834711
breast_cancer,100,budget_prune,na,19,29,0.5873015873015873
breast_cancer,100,budget_prune,na,23,29,0.6666666666666666
breast_cancer,100,loro_bce,na,19,23,0.6528925619834711
breast_cancer,100,loro_bce,na,19,29,0.6666666666666666
breast_cancer,100,loro_bce,na,23,29,0.6528925619834711
breast_cancer,100,c_prune_loro_bce,0.75,19,23,0.041666666666666664
breast_cancer,100,c_prune_loro_bce,0.75,19,29,0.0
breast_cancer,100,c_prune_loro_bce,0.75,23,29,0.06666666666666667
breast_cancer,100,c_prune_loro_bce,0.85,19,23,0.11764705882352941
breast_cancer,100,c_prune_loro_bce,0.85,19,29,0.05555555555555555
breast_cancer,100,c_prune_loro_bce,0.85,23,29,0.047619047619047616
breast_cancer,100,c_prune_loro_bce,0.9,19,23,0.15
breast_cancer,100,c_prune_loro_bce,0.9,19,29,0.09302325581395349
breast_cancer,100,c_prune_loro_bce,0.9,23,29,0.03571428571428571
