dataset,budget,method,n_samples,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fidelity_mean,fidelity_std,agreement_mean,agreement_std,effective_selected_rules_mean
covtype_binary_20000,25,budget_prune,300,0.74262251067662,0.004024735079354313,0.8120656660412758,0.006570896879001764,0.7603357288238686,0.011474067000179063,0.14376298062544368,0.04245255489878908,0.8478749999999999,0.041670470659689,25.0
covtype_binary_20000,25,loro_bce,300,0.5994632057963081,0.12156578523969608,0.6627969952053366,0.11917859834223139,0.6324204559926477,0.11017802181489092,0.23511260557580926,0.10928973559980378,0.6849416666666667,0.17108333475401852,25.0
covtype_binary_20000,25,c_prune_loro_bce,300,0.7459256150574918,0.03903551956953177,0.8116439816552012,0.038791472395519326,0.7782432777146001,0.037760041730177114,0.13842478168349298,0.06337718969463448,0.8535399999999999,0.07837522238139635,25.0
covtype_binary_20000,50,budget_prune,300,0.7518557490039096,0.005940910755672676,0.8246893308317698,0.006188509904332683,0.7800863294589445,0.009668035747584612,0.13074087993084196,0.043877206167022384,0.8613750000000001,0.041852755285643986,50.0
covtype_binary_20000,50,loro_bce,300,0.7271102752430372,0.05068091118151344,0.792112282676673,0.05198368207009198,0.758326396214252,0.05070428366970541,0.1572869204449897,0.07767644918583162,0.8262491666666667,0.1032867902539924,50.0
covtype_binary_20000,50,c_prune_loro_bce,300,0.7851179573525463,0.00980171275922151,0.8593694850948509,0.011400301315018993,0.831685002771844,0.01619868862863762,0.07625036726567956,0.024409086713834866,0.9202891666666665,0.030749449983789232,50.0
covtype_binary_20000,100,budget_prune,300,0.7607350099837902,0.005268404133408577,0.8354298186366479,0.004476168384152234,0.7956093987401244,0.009408955975952303,0.11973057548519837,0.04192162436379315,0.87715,0.04291608090215136,100.0
covtype_binary_20000,100,loro_bce,300,0.7720946478950018,0.015279400880173153,0.8439914579945799,0.017855562428202715,0.8169127198523789,0.018082546271105046,0.09945748221521193,0.04081742997506468,0.8954533333333332,0.05227545940071264,100.0
covtype_binary_20000,100,c_prune_loro_bce,300,0.7915752352935769,0.011311465536744574,0.8657271244527829,0.013440877136969592,0.8403782314504766,0.019269167393589543,0.06727213595147508,0.017939408262888257,0.9281033333333335,0.02201251891285704,85.47333333333333
