dataset,budget,method,corr_threshold,seed_a,seed_b,f1_mean_method,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,100,l1_lr_topk,0.75,19,23,0.7791147974160201,0.680672268907563,0.625
covtype_binary_20000,100,l1_lr_topk,0.75,19,29,0.7791147974160201,0.6260162601626016,0.6428571428571429
covtype_binary_20000,100,l1_lr_topk,0.75,23,29,0.7791147974160201,0.6260162601626016,0.5625
covtype_binary_20000,100,c_prune_loro_bce,0.75,19,23,0.7779159305786494,0.05555555555555555,0.6842105263157895
covtype_binary_20000,100,c_prune_loro_bce,0.75,19,29,0.7779159305786494,0.05442176870748299,0.7222222222222222
covtype_binary_20000,100,c_prune_loro_bce,0.75,23,29,0.7779159305786494,0.07746478873239436,0.7222222222222222
