budget,method,metric,mean,ci95_low,ci95_high,n_samples
25,budget_prune,f1,0.4667445749685628,0.22192866578599735,0.7503700049333991,300
25,budget_prune,roc_auc,0.6510630218886805,0.587172607879925,0.8029508442776736,300
25,budget_prune,pr_auc,0.6530381167805362,0.591725306394452,0.7673965248882268,300
25,budget_prune,fidelity,0.21327283799553526,0.09570974176015981,0.24242787481955883,300
25,budget_prune,agreement,0.6493266666666667,0.54825,0.89625,300
25,budget_prune,rule_jaccard_mean_pairs,0.02807931683311621,0.028079316833116222,0.028079316833116222,100
25,budget_prune,meta_cluster_jaccard_mean_pairs,0.5761904761904761,0.5761904761904763,0.5761904761904763,100
25,loro_bce,f1,0.7618927232352866,0.7372116349047142,0.7705346494672977,300
25,loro_bce,roc_auc,0.8298800500312694,0.810436272670419,0.8429836147592245,300
25,loro_bce,pr_auc,0.7954587600280371,0.7585398922295143,0.8184346948040846,300
25,loro_bce,fidelity,0.06852012344181452,0.05523840824860951,0.1028482476749618,300
25,loro_bce,agreement,0.9287633333333334,0.8665,0.94425,300
25,loro_bce,rule_jaccard_mean_pairs,0.019768116466444732,0.006802721088435374,0.024263038548752773,100
25,loro_bce,meta_cluster_jaccard_mean_pairs,0.4273967976467978,0.37825757575757574,0.45959595959595956,100
25,c_prune_loro_bce,f1,0.7687682072636574,0.758121984967155,0.7829554841686832,300
25,c_prune_loro_bce,roc_auc,0.8370011115280382,0.8230741588492807,0.8451162288930583,300
25,c_prune_loro_bce,pr_auc,0.8027243703077144,0.7878203181962885,0.8188182980450626,300
25,c_prune_loro_bce,fidelity,0.04830766688279628,0.03583863073244147,0.059616221678953425,300
25,c_prune_loro_bce,agreement,0.9583008333333332,0.93911875,0.9736312500000001,300
25,c_prune_loro_bce,rule_jaccard_mean_pairs,0.015895691609977322,0.006802721088435374,0.027494331065759634,100
25,c_prune_loro_bce,meta_cluster_jaccard_mean_pairs,0.4942276612276612,0.4292929292929293,0.5871296296296296,100
50,budget_prune,f1,0.6944015435104655,0.648539778449144,0.7715559960356789,300
50,budget_prune,roc_auc,0.7662861029810298,0.7119842401500938,0.8287957473420887,300
50,budget_prune,pr_auc,0.7494960143393684,0.7028736674743025,0.7866939510792046,300
50,budget_prune,fidelity,0.14980236784936324,0.055248873313908084,0.20275832038870187,300
50,budget_prune,agreement,0.7985775,0.6989875,0.9393812500000001,300
50,budget_prune,rule_jaccard_mean_pairs,0.03467441218716611,0.031585874095196316,0.03539888408528249,100
50,budget_prune,meta_cluster_jaccard_mean_pairs,0.5012944925444925,0.4295334295334295,0.5074555074555075,100
50,loro_bce,f1,0.7718111962948374,0.7634193178740444,0.7839331446411242,300
50,loro_bce,roc_auc,0.8391389910360642,0.8319629455909944,0.8465258286429018,300
50,loro_bce,pr_auc,0.8069926510477957,0.7977189272071032,0.8210854908218774,300
50,loro_bce,fidelity,0.04764580171610744,0.0323219864016874,0.059409832264064835,300
50,loro_bce,agreement,0.9578866666666667,0.94204375,0.9755,300
50,loro_bce,rule_jaccard_mean_pairs,0.04668071716221764,0.03458049886621315,0.052942743734405294,100
50,loro_bce,meta_cluster_jaccard_mean_pairs,0.4841349206349207,0.43345543345543347,0.5145940170940171,100
50,c_prune_loro_bce,f1,0.775652641156011,0.7697662854301343,0.7833727245424057,300
50,c_prune_loro_bce,roc_auc,0.8449905315822389,0.8395397123202001,0.8541531457160726,300
50,c_prune_loro_bce,pr_auc,0.8112313695390361,0.795125976107806,0.8264710179092207,300
50,c_prune_loro_bce,fidelity,0.04235902413298284,0.03293199996131967,0.058997967333938965,300
50,c_prune_loro_bce,agreement,0.9605408333333334,0.9398562500000001,0.97438125,300
50,c_prune_loro_bce,rule_jaccard_mean_pairs,0.028683282674097747,0.020479002805954206,0.04193126718772615,100
50,c_prune_loro_bce,meta_cluster_jaccard_mean_pairs,0.514305402930403,0.4871794871794872,0.6252777777777776,100
100,budget_prune,f1,0.7744850925743247,0.768319763138416,0.783238608154828,300
100,budget_prune,roc_auc,0.8391349977069001,0.8320141150719199,0.8475714821763602,300
100,budget_prune,pr_auc,0.8049878604008918,0.7947155694190958,0.8235253997002717,300
100,budget_prune,fidelity,0.052969618042119734,0.03996087205256789,0.06830497171036051,300
100,budget_prune,agreement,0.9489908333333336,0.9315,0.9625,300
100,budget_prune,rule_jaccard_mean_pairs,0.06722190135457037,0.06423438100607122,0.06978584701493298,100
100,budget_prune,meta_cluster_jaccard_mean_pairs,0.4661721611721611,0.4134199134199134,0.5353687978687977,100
100,loro_bce,f1,0.7733574188538676,0.7656565656565657,0.784123209666225,300
100,loro_bce,roc_auc,0.8420662414008755,0.8360645153220763,0.8498489055659787,300
100,loro_bce,pr_auc,0.8100639453210041,0.7987371057890233,0.8250366280641905,300
100,loro_bce,fidelity,0.044326162334344395,0.031919464121336866,0.055437507433899434,300
100,loro_bce,agreement,0.9620099999999998,0.950125,0.97525,300
100,loro_bce,rule_jaccard_mean_pairs,0.06515459190962831,0.061046165589075115,0.07447444781364941,100
100,loro_bce,meta_cluster_jaccard_mean_pairs,0.5315345860566447,0.5163459967320262,0.5319444444444444,100
100,c_prune_loro_bce,f1,0.7783675924862675,0.7692307692307693,0.7873553751519919,300
100,c_prune_loro_bce,roc_auc,0.8472445294976026,0.8421558223889931,0.8560955909943714,300
100,c_prune_loro_bce,pr_auc,0.8140957023411821,0.7989486772521492,0.8298895014952388,300
100,c_prune_loro_bce,fidelity,0.045660340269966175,0.03767163287093941,0.060632497573401854,300
100,c_prune_loro_bce,agreement,0.9555766666666669,0.936725,0.96588125,300
100,c_prune_loro_bce,rule_jaccard_mean_pairs,0.06980993475114894,0.059994285366488175,0.0819578322472269,100
100,c_prune_loro_bce,meta_cluster_jaccard_mean_pairs,0.7253425065932808,0.7025871459694988,0.7745098039215685,100
