dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
breast_cancer,23,25,0.85,19,1,39,0.007486494644904869,1
breast_cancer,23,25,0.85,20,1,152,0.00861275419825264,1
breast_cancer,23,25,0.9,1,2,126,7.512451027254924e-06,1
breast_cancer,23,25,0.9,2,3,146,4.767496055031045e-05,1
breast_cancer,23,25,0.9,3,8,21,3.88546651227048e-05,1
breast_cancer,23,25,0.9,4,1,135,-8.53291497063674e-05,0
breast_cancer,23,25,0.9,5,3,48,4.9812147886397345e-05,1
breast_cancer,23,25,0.9,6,4,51,5.5747852836410955e-05,1
breast_cancer,23,25,0.9,7,4,15,5.84112103706215e-05,1
breast_cancer,23,25,0.9,8,12,128,0.00024525170917075526,1
breast_cancer,23,25,0.9,9,6,101,5.528500381749707e-05,1
breast_cancer,23,25,0.9,10,1,32,-3.49302894131695e-05,1
breast_cancer,23,25,0.9,11,16,8,5.704324490059948e-05,1
breast_cancer,23,25,0.9,12,3,104,5.308890707075159e-05,1
breast_cancer,23,25,0.9,13,4,111,5.117927809240863e-05,1
breast_cancer,23,25,0.9,14,108,73,0.00012415914217593638,1
breast_cancer,23,25,0.9,15,1,76,5.3613875249044346e-05,1
breast_cancer,23,25,0.9,16,2,25,5.013571417012211e-05,1
breast_cancer,23,25,0.9,17,5,123,4.6542243568994945e-05,1
breast_cancer,23,25,0.9,18,1,69,0.0001035000605392987,1
breast_cancer,23,25,0.9,19,1,134,5.2247983715784235e-05,1
breast_cancer,23,25,0.9,20,1,188,0.000173584619154038,1
breast_cancer,23,25,0.9,21,1,58,0.2896183976026497,1
breast_cancer,23,25,0.9,22,1,100,0.31313131421513224,1
breast_cancer,23,25,0.9,23,1,106,0.016236684115320844,1
breast_cancer,23,25,0.9,24,1,109,0.004799405432835354,1
breast_cancer,23,25,0.9,25,1,39,0.007486494644904869,1
breast_cancer,23,25,0.9,26,1,152,0.00861275419825264,1
breast_cancer,23,50,0.75,1,13,146,4.767496055031045e-05,1
breast_cancer,23,50,0.75,2,1,135,-8.53291497063674e-05,1
breast_cancer,23,50,0.75,3,3,48,4.9812147886397345e-05,1
breast_cancer,23,50,0.75,4,4,51,5.5747852836410955e-05,1
breast_cancer,23,50,0.75,5,4,15,5.84112103706215e-05,1
breast_cancer,23,50,0.75,6,151,128,0.00024525170917075526,1
breast_cancer,23,50,0.75,7,2,25,5.013571417012211e-05,1
breast_cancer,23,50,0.75,8,5,123,4.6542243568994945e-05,1
breast_cancer,23,50,0.75,9,1,69,0.0001035000605392987,1
breast_cancer,23,50,0.75,10,1,134,5.2247983715784235e-05,1
breast_cancer,23,50,0.75,11,1,188,0.000173584619154038,1
breast_cancer,23,50,0.75,12,2,100,0.31313131421513224,1
breast_cancer,23,50,0.75,13,1,106,0.016236684115320844,1
breast_cancer,23,50,0.75,14,1,109,0.004799405432835354,1
breast_cancer,23,50,0.75,15,1,39,0.007486494644904869,1
breast_cancer,23,50,0.75,16,1,152,0.00861275419825264,1
breast_cancer,23,50,0.85,1,2,126,7.512451027254924e-06,1
breast_cancer,23,50,0.85,2,11,146,4.767496055031045e-05,1
breast_cancer,23,50,0.85,3,1,135,-8.53291497063674e-05,1
breast_cancer,23,50,0.85,4,3,48,4.9812147886397345e-05,1
breast_cancer,23,50,0.85,5,4,51,5.5747852836410955e-05,1
breast_cancer,23,50,0.85,6,4,15,5.84112103706215e-05,1
breast_cancer,23,50,0.85,7,12,128,0.00024525170917075526,1
breast_cancer,23,50,0.85,8,7,101,5.528500381749707e-05,1
breast_cancer,23,50,0.85,9,131,73,0.00012415914217593638,1
breast_cancer,23,50,0.85,10,1,76,5.3613875249044346e-05,1
breast_cancer,23,50,0.85,11,2,25,5.013571417012211e-05,1
breast_cancer,23,50,0.85,12,5,123,4.6542243568994945e-05,1
breast_cancer,23,50,0.85,13,1,69,0.0001035000605392987,1
breast_cancer,23,50,0.85,14,1,134,5.2247983715784235e-05,1
breast_cancer,23,50,0.85,15,1,188,0.000173584619154038,1
breast_cancer,23,50,0.85,16,2,100,0.31313131421513224,1
breast_cancer,23,50,0.85,17,1,106,0.016236684115320844,1
breast_cancer,23,50,0.85,18,1,109,0.004799405432835354,1
breast_cancer,23,50,0.85,19,1,39,0.007486494644904869,1
