dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
covtype_binary_20000,1,25,0.75,81,6,830,18.043911706100044,0
covtype_binary_20000,1,25,0.75,82,7,554,17.884171267914102,0
covtype_binary_20000,1,25,0.75,83,12,53,16.220746777190833,0
covtype_binary_20000,1,25,0.75,84,6,835,18.043911706100044,0
covtype_binary_20000,1,25,0.75,85,6,667,18.043911706100044,0
covtype_binary_20000,1,25,0.75,86,10,89,15.704573650026425,0
covtype_binary_20000,1,25,0.75,87,7,107,18.013233508478233,0
covtype_binary_20000,1,25,0.75,88,7,175,17.546315518794454,0
covtype_binary_20000,1,25,0.75,89,7,216,17.607427386490198,0
covtype_binary_20000,1,25,0.75,90,8,226,17.949511542844817,0
covtype_binary_20000,1,25,0.85,1,9,424,18.001515209906387,0
covtype_binary_20000,1,25,0.85,2,12,563,18.043911706100044,1
covtype_binary_20000,1,25,0.85,3,15,466,18.043911706100044,1
covtype_binary_20000,1,25,0.85,4,1,103,0.0016685233301324542,0
covtype_binary_20000,1,25,0.85,5,18,101,18.043911706100044,1
covtype_binary_20000,1,25,0.85,6,3,295,18.02199090177309,0
covtype_binary_20000,1,25,0.85,7,6,539,18.043911706100044,1
covtype_binary_20000,1,25,0.85,8,23,491,18.043911706100044,1
covtype_binary_20000,1,25,0.85,9,1,129,0.3126433159738376,0
covtype_binary_20000,1,25,0.85,10,7,661,18.043911706100044,1
covtype_binary_20000,1,25,0.85,11,2,182,0.27242631377089327,0
covtype_binary_20000,1,25,0.85,12,12,643,18.043911706100044,1
covtype_binary_20000,1,25,0.85,13,12,467,18.043911706100044,1
covtype_binary_20000,1,25,0.85,14,6,460,18.043911706100044,1
covtype_binary_20000,1,25,0.85,15,12,767,18.043911706100044,1
covtype_binary_20000,1,25,0.85,16,8,5,18.01266436528935,0
covtype_binary_20000,1,25,0.85,17,8,15,17.14490337500966,0
covtype_binary_20000,1,25,0.85,18,9,20,17.79361485075294,0
covtype_binary_20000,1,25,0.85,19,6,646,18.043911706100044,1
covtype_binary_20000,1,25,0.85,20,6,550,18.043911706100044,1
covtype_binary_20000,1,25,0.85,21,12,868,18.021140297940615,0
covtype_binary_20000,1,25,0.85,22,31,594,18.043911706100044,1
covtype_binary_20000,1,25,0.85,23,1,292,2.1943648829674838,0
covtype_binary_20000,1,25,0.85,24,1,376,1.0133269228547188,0
covtype_binary_20000,1,25,0.85,25,6,681,18.043911706100044,1
covtype_binary_20000,1,25,0.85,26,7,386,17.909542006082003,0
covtype_binary_20000,1,25,0.85,27,16,2,18.043911706100044,1
covtype_binary_20000,1,25,0.85,28,8,59,18.042180720483078,0
covtype_binary_20000,1,25,0.85,29,8,392,17.751709080159646,0
covtype_binary_20000,1,25,0.85,30,18,86,18.043911706100044,1
covtype_binary_20000,1,25,0.85,31,1,499,0.003083729390941814,0
covtype_binary_20000,1,25,0.85,32,6,888,18.043911706100044,1
covtype_binary_20000,1,25,0.85,33,6,823,18.043911706100044,1
covtype_binary_20000,1,25,0.85,34,3,54,16.29367781817849,0
covtype_binary_20000,1,25,0.85,35,6,579,18.043911706100044,1
covtype_binary_20000,1,25,0.85,36,12,246,5.202202816255595,0
covtype_binary_20000,1,25,0.85,37,4,19,16.80401194641459,0
covtype_binary_20000,1,25,0.85,38,6,834,17.283230735469335,0
covtype_binary_20000,1,25,0.85,39,6,398,18.043911706100044,1
covtype_binary_20000,1,25,0.85,40,12,92,13.93823358782492,0
covtype_binary_20000,1,25,0.85,41,6,701,18.043911706100044,1
covtype_binary_20000,1,25,0.85,42,9,102,18.01718767620237,0
covtype_binary_20000,1,25,0.85,43,9,24,17.497511638896984,0
covtype_binary_20000,1,25,0.85,44,6,110,17.122506922932203,0
covtype_binary_20000,1,25,0.85,45,6,703,18.043911706100044,1
covtype_binary_20000,1,25,0.85,46,12,597,18.043911706100044,1
covtype_binary_20000,1,25,0.85,47,11,154,8.235243659596488,0
covtype_binary_20000,1,25,0.85,48,6,810,18.043911706100044,1
covtype_binary_20000,1,25,0.85,49,6,447,17.9599705364989,0
covtype_binary_20000,1,25,0.85,50,8,116,17.87014059711519,0
covtype_binary_20000,1,25,0.85,51,6,565,18.043911706100044,0
covtype_binary_20000,1,25,0.85,52,6,635,18.043911706100044,0
covtype_binary_20000,1,25,0.85,53,6,518,18.043911706100044,0
covtype_binary_20000,1,25,0.85,54,5,237,1.5653665294789825,0
covtype_binary_20000,1,25,0.85,55,40,164,16.961098926875486,0
covtype_binary_20000,1,25,0.85,56,8,67,17.086411156266234,0
covtype_binary_20000,1,25,0.85,57,1,915,0.0006364152154283431,0
covtype_binary_20000,1,25,0.85,58,1,794,0.26867962596811795,0
covtype_binary_20000,1,25,0.85,59,12,716,18.043911706100044,0
covtype_binary_20000,1,25,0.85,60,42,43,16.64798911781303,0
covtype_binary_20000,1,25,0.85,61,19,782,18.043911706100044,0
covtype_binary_20000,1,25,0.85,62,7,108,3.9352458401589545,0
covtype_binary_20000,1,25,0.85,63,6,695,18.043911706100044,0
covtype_binary_20000,1,25,0.85,64,9,48,18.043911706100044,0
covtype_binary_20000,1,25,0.85,65,9,71,17.709518519378033,0
covtype_binary_20000,1,25,0.85,66,12,166,10.01889193515504,0
covtype_binary_20000,1,25,0.85,67,6,549,18.043911706100044,0
covtype_binary_20000,1,25,0.85,68,9,0,18.043911707128586,1
covtype_binary_20000,1,25,0.85,69,12,693,17.954165348970545,0
covtype_binary_20000,1,25,0.85,70,20,522,18.043911706100044,0
covtype_binary_20000,1,25,0.85,71,42,109,9.624459405238929,0
covtype_binary_20000,1,25,0.85,72,43,98,8.23107596707006,0
covtype_binary_20000,1,25,0.85,73,2,438,0.1842764383127507,0
covtype_binary_20000,1,25,0.85,74,7,458,18.043911706100044,0
covtype_binary_20000,1,25,0.85,75,7,685,18.043911706100044,0
covtype_binary_20000,1,25,0.85,76,9,104,17.40763229263146,0
covtype_binary_20000,1,25,0.85,77,9,411,17.899200462712717,0
covtype_binary_20000,1,25,0.85,78,9,359,18.043911706100044,0
covtype_binary_20000,1,25,0.85,79,13,609,18.043911706100044,0
covtype_binary_20000,1,25,0.85,80,9,64,17.727508543339656,0
covtype_binary_20000,1,25,0.85,81,1,32,0.011170629727558556,0
covtype_binary_20000,1,25,0.85,82,1,373,-0.0015440225379488304,0
covtype_binary_20000,1,25,0.85,83,6,722,18.043911706100044,0
covtype_binary_20000,1,25,0.85,84,6,847,18.043911706100044,0
covtype_binary_20000,1,25,0.85,85,6,511,17.974082730442454,0
