dataset,seed,budget,method,corr_threshold,mean_abs_pairwise_corr_selected,max_abs_pairwise_corr_selected
covtype_binary_20000,1,25,budget_prune,na,0.20438877806475433,0.999999999999999
covtype_binary_20000,1,25,loro_bce,na,0.258859157662141,0.9999999999999991
covtype_binary_20000,1,25,c_prune_loro_bce,0.75,0.09427273921302938,0.8334852284769576
covtype_binary_20000,1,25,c_prune_loro_bce,0.85,0.09427273921302938,0.8334852284769576
covtype_binary_20000,1,25,c_prune_loro_bce,0.9,0.09818166049405025,0.9167150135526221
covtype_binary_20000,1,50,budget_prune,na,0.16163494052930738,1.0
covtype_binary_20000,1,50,loro_bce,na,0.17663163025417725,1.0
covtype_binary_20000,1,50,c_prune_loro_bce,0.75,0.09744821872430198,0.8722125208404854
covtype_binary_20000,1,50,c_prune_loro_bce,0.85,0.09776754354949278,0.8722125208404854
covtype_binary_20000,1,50,c_prune_loro_bce,0.9,0.0959570823312646,0.9167150135526221
covtype_binary_20000,1,100,budget_prune,na,0.13967203993942937,1.0
covtype_binary_20000,1,100,loro_bce,na,0.13337806163322888,1.0
covtype_binary_20000,1,100,c_prune_loro_bce,0.75,0.098835005597104,0.8722125208404854
covtype_binary_20000,1,100,c_prune_loro_bce,0.85,0.09999446506466504,0.8722125208404854
covtype_binary_20000,1,100,c_prune_loro_bce,0.9,0.1031075567328312,0.9564820683034455
covtype_binary_20000,7,25,budget_prune,na,0.2577038586771724,0.9999999999999992
covtype_binary_20000,7,25,loro_bce,na,0.31837050343085127,0.9999999999999993
covtype_binary_20000,7,25,c_prune_loro_bce,0.75,0.09547863845120937,0.8398804570624848
covtype_binary_20000,7,25,c_prune_loro_bce,0.85,0.09547863845120937,0.8398804570624848
covtype_binary_20000,7,25,c_prune_loro_bce,0.9,0.09460473786558107,0.8516719251769321
covtype_binary_20000,7,50,budget_prune,na,0.18696646682185405,1.0
covtype_binary_20000,7,50,loro_bce,na,0.19358036714315133,1.0
covtype_binary_20000,7,50,c_prune_loro_bce,0.75,0.08615442466816244,0.8732128674903671
covtype_binary_20000,7,50,c_prune_loro_bce,0.85,0.08868392537032344,0.8732128674903671
covtype_binary_20000,7,50,c_prune_loro_bce,0.9,0.09007833623232815,0.8732128674903671
covtype_binary_20000,7,100,budget_prune,na,0.159598476804166,1.0
covtype_binary_20000,7,100,loro_bce,na,0.12649257119184903,1.0
covtype_binary_20000,7,100,c_prune_loro_bce,0.75,0.09026141807571321,0.8768869050488086
covtype_binary_20000,7,100,c_prune_loro_bce,0.85,0.09158927775604182,0.9200682997605159
covtype_binary_20000,7,100,c_prune_loro_bce,0.9,0.09089358734529453,0.9200682997605159
covtype_binary_20000,13,25,budget_prune,na,0.219789239066722,0.9999999999999987
covtype_binary_20000,13,25,loro_bce,na,0.3196645160655754,0.9999999999999998
covtype_binary_20000,13,25,c_prune_loro_bce,0.75,0.097060207335453,0.8687963081179654
covtype_binary_20000,13,25,c_prune_loro_bce,0.85,0.10999374169589549,0.8687963081179654
covtype_binary_20000,13,25,c_prune_loro_bce,0.9,0.11915475477671417,0.8907389541240083
covtype_binary_20000,13,50,budget_prune,na,0.1753521222444173,0.9999999999999999
covtype_binary_20000,13,50,loro_bce,na,0.18608363864680902,0.9999999999999998
covtype_binary_20000,13,50,c_prune_loro_bce,0.75,0.08671567167289217,0.8687963081179654
covtype_binary_20000,13,50,c_prune_loro_bce,0.85,0.08430426526631399,0.8687963081179654
covtype_binary_20000,13,50,c_prune_loro_bce,0.9,0.08508314762643289,0.895640241652165
covtype_binary_20000,13,100,budget_prune,na,0.14775592037976787,1.0
covtype_binary_20000,13,100,loro_bce,na,0.11906329420477124,1.0
covtype_binary_20000,13,100,c_prune_loro_bce,0.75,0.09248421001628024,0.8687963081179654
covtype_binary_20000,13,100,c_prune_loro_bce,0.85,0.09343087348840921,0.8687963081179654
covtype_binary_20000,13,100,c_prune_loro_bce,0.9,0.09369198206611876,0.8962688273648536
covtype_binary_20000,19,25,budget_prune,na,0.26076481210276325,0.9999999999999993
covtype_binary_20000,19,25,loro_bce,na,0.2118725334864334,0.9999999999999989
covtype_binary_20000,19,25,c_prune_loro_bce,0.75,0.14861731746428067,0.8438170843144496
covtype_binary_20000,19,25,c_prune_loro_bce,0.85,0.13870119174545378,0.8102097687977868
covtype_binary_20000,19,25,c_prune_loro_bce,0.9,0.14276509149154734,0.8635241488521808
covtype_binary_20000,19,50,budget_prune,na,0.17051264665224083,1.0
covtype_binary_20000,19,50,loro_bce,na,0.16158249549917236,0.9999999999999989
covtype_binary_20000,19,50,c_prune_loro_bce,0.75,0.1360304406224689,0.8438170843144496
covtype_binary_20000,19,50,c_prune_loro_bce,0.85,0.16010641214419116,0.9158549173526711
covtype_binary_20000,19,50,c_prune_loro_bce,0.9,0.17309385953410936,0.9158549173526711
covtype_binary_20000,19,100,budget_prune,na,0.14240940102307031,1.0
covtype_binary_20000,19,100,loro_bce,na,0.15232531652104778,0.9999999999999993
covtype_binary_20000,19,100,c_prune_loro_bce,0.75,0.11080400846283599,0.8454123089130989
covtype_binary_20000,19,100,c_prune_loro_bce,0.85,0.12295642802009775,0.9158549173526711
covtype_binary_20000,19,100,c_prune_loro_bce,0.9,0.1375016711371186,0.9158549173526711
covtype_binary_20000,23,25,budget_prune,na,0.3481044884167511,0.9999999999999993
covtype_binary_20000,23,25,loro_bce,na,0.16513567037518617,0.9999999999999994
covtype_binary_20000,23,25,c_prune_loro_bce,0.75,0.24844083044821114,0.8483929434243054
covtype_binary_20000,23,25,c_prune_loro_bce,0.85,0.24595542063217152,0.9413747698482082
covtype_binary_20000,23,25,c_prune_loro_bce,0.9,0.23776454180567252,0.9498381996478222
covtype_binary_20000,23,50,budget_prune,na,0.21078543388556226,0.9999999999999997
covtype_binary_20000,23,50,loro_bce,na,0.1726635375717745,0.9999999999999994
covtype_binary_20000,23,50,c_prune_loro_bce,0.75,0.15690580216645295,0.8483929434243054
covtype_binary_20000,23,50,c_prune_loro_bce,0.85,0.1782696013626189,0.9413747698482082
covtype_binary_20000,23,50,c_prune_loro_bce,0.9,0.20809212650765535,0.9498381996478222
covtype_binary_20000,23,100,budget_prune,na,0.15512529361859462,1.0
covtype_binary_20000,23,100,loro_bce,na,0.1952208936298694,0.9999999999999997
covtype_binary_20000,23,100,c_prune_loro_bce,0.75,0.11838061245652981,0.8490377101696543
covtype_binary_20000,23,100,c_prune_loro_bce,0.85,0.12517198740061283,0.9413747698482082
covtype_binary_20000,23,100,c_prune_loro_bce,0.9,0.14506295574032588,0.9498381996478222
covtype_binary_20000,29,25,budget_prune,na,0.33015067062931763,0.9999999999999993
covtype_binary_20000,29,25,loro_bce,na,0.18152259988270583,0.9999999999999992
covtype_binary_20000,29,25,c_prune_loro_bce,0.75,0.1633418506968211,0.9751280418651264
covtype_binary_20000,29,25,c_prune_loro_bce,0.85,0.1946515040885273,0.9751280418651264
covtype_binary_20000,29,25,c_prune_loro_bce,0.9,0.1946515040885273,0.9751280418651264
covtype_binary_20000,29,50,budget_prune,na,0.19369020837993434,1.0
covtype_binary_20000,29,50,loro_bce,na,0.1826020592868821,0.9999999999999992
covtype_binary_20000,29,50,c_prune_loro_bce,0.75,0.14098982699435217,0.9751280418651264
covtype_binary_20000,29,50,c_prune_loro_bce,0.85,0.1673726144769413,0.9751280418651264
covtype_binary_20000,29,50,c_prune_loro_bce,0.9,0.20354549433769717,0.9751280418651264
covtype_binary_20000,29,100,budget_prune,na,0.13983949235135246,1.0
covtype_binary_20000,29,100,loro_bce,na,0.17511357148536502,1.0
covtype_binary_20000,29,100,c_prune_loro_bce,0.75,0.12115023169298654,0.9751280418651264
covtype_binary_20000,29,100,c_prune_loro_bce,0.85,0.12793032270444807,0.9751280418651264
covtype_binary_20000,29,100,c_prune_loro_bce,0.9,0.14597429773192744,0.9751280418651264
covtype_binary_20000,31,25,budget_prune,na,0.3054579496703452,0.9999999999999986
covtype_binary_20000,31,25,loro_bce,na,0.23978839102642743,0.9999999999999998
covtype_binary_20000,31,25,c_prune_loro_bce,0.75,0.10028796881790199,0.8197021110609813
covtype_binary_20000,31,25,c_prune_loro_bce,0.85,0.10028796881790199,0.8197021110609813
covtype_binary_20000,31,25,c_prune_loro_bce,0.9,0.09262020355878611,0.8556111408616494
covtype_binary_20000,31,50,budget_prune,na,0.21274372438140324,0.999999999999999
covtype_binary_20000,31,50,loro_bce,na,0.1461474331120004,0.9999999999999998
covtype_binary_20000,31,50,c_prune_loro_bce,0.75,0.09902954230923237,0.9443086368541396
covtype_binary_20000,31,50,c_prune_loro_bce,0.85,0.10109502732598127,0.9443086368541396
covtype_binary_20000,31,50,c_prune_loro_bce,0.9,0.09752657621856527,0.9443086368541396
covtype_binary_20000,31,100,budget_prune,na,0.16288610070046564,1.0
covtype_binary_20000,31,100,loro_bce,na,0.12228382113617729,0.9999999999999998
covtype_binary_20000,31,100,c_prune_loro_bce,0.75,0.09732002838958961,0.9443086368541396
covtype_binary_20000,31,100,c_prune_loro_bce,0.85,0.10169747807760665,0.9443086368541396
covtype_binary_20000,31,100,c_prune_loro_bce,0.9,0.10142945649125681,0.9443086368541396
covtype_binary_20000,37,25,budget_prune,na,0.19897187514248496,0.999999999999999
covtype_binary_20000,37,25,loro_bce,na,0.2588230019929355,0.9999999999999992
covtype_binary_20000,37,25,c_prune_loro_bce,0.75,0.10025498501924275,0.8612527191139628
covtype_binary_20000,37,25,c_prune_loro_bce,0.85,0.10025498501924275,0.8612527191139628
covtype_binary_20000,37,25,c_prune_loro_bce,0.9,0.10025498501924275,0.8612527191139628
covtype_binary_20000,37,50,budget_prune,na,0.1874915293731271,0.9999999999999991
covtype_binary_20000,37,50,loro_bce,na,0.16474544045655434,0.9999999999999993
covtype_binary_20000,37,50,c_prune_loro_bce,0.75,0.09613359825905438,0.8612527191139628
covtype_binary_20000,37,50,c_prune_loro_bce,0.85,0.10136692851119501,0.8690917547238726
covtype_binary_20000,37,50,c_prune_loro_bce,0.9,0.10174489119385802,0.9490357956316234
covtype_binary_20000,37,100,budget_prune,na,0.14696809258038498,1.0
covtype_binary_20000,37,100,loro_bce,na,0.12883248486769786,1.0
covtype_binary_20000,37,100,c_prune_loro_bce,0.75,0.09540823693069218,0.8612527191139628
covtype_binary_20000,37,100,c_prune_loro_bce,0.85,0.09953818086561014,0.9417668720486742
covtype_binary_20000,37,100,c_prune_loro_bce,0.9,0.10347925947578926,0.9490357956316234
covtype_binary_20000,41,25,budget_prune,na,0.2680777676678268,0.9999999999999988
covtype_binary_20000,41,25,loro_bce,na,0.28890452589655896,0.9999999999999993
covtype_binary_20000,41,25,c_prune_loro_bce,0.75,0.12042620768682825,0.8770519775966172
covtype_binary_20000,41,25,c_prune_loro_bce,0.85,0.1058456298174816,0.9535026275053168
covtype_binary_20000,41,25,c_prune_loro_bce,0.9,0.1058456298174816,0.9535026275053168
covtype_binary_20000,41,50,budget_prune,na,0.1851501128998627,0.9999999999999997
covtype_binary_20000,41,50,loro_bce,na,0.1748506425238746,0.9999999999999994
covtype_binary_20000,41,50,c_prune_loro_bce,0.75,0.10066538408450534,0.8775386900073173
covtype_binary_20000,41,50,c_prune_loro_bce,0.85,0.09911507537792874,0.9535026275053168
covtype_binary_20000,41,50,c_prune_loro_bce,0.9,0.09997664476138762,0.9535026275053168
covtype_binary_20000,41,100,budget_prune,na,0.16716321744762574,1.0
covtype_binary_20000,41,100,loro_bce,na,0.1347745754109952,0.9999999999999997
covtype_binary_20000,41,100,c_prune_loro_bce,0.75,0.09512476062347971,0.8775386900073173
covtype_binary_20000,41,100,c_prune_loro_bce,0.85,0.10047186876899894,0.9535026275053168
covtype_binary_20000,41,100,c_prune_loro_bce,0.9,0.10086560514765942,0.9535026275053168
covtype_binary_20000,43,25,budget_prune,na,0.25215575982476507,0.9999999999999993
covtype_binary_20000,43,25,loro_bce,na,0.21603372643229335,0.9999999999999989
covtype_binary_20000,43,25,c_prune_loro_bce,0.75,0.1202655722259148,0.7678360882176118
covtype_binary_20000,43,25,c_prune_loro_bce,0.85,0.1202655722259148,0.7678360882176118
covtype_binary_20000,43,25,c_prune_loro_bce,0.9,0.12170542147007796,0.9370987481246731
covtype_binary_20000,43,50,budget_prune,na,0.17274615074768687,0.9999999999999996
covtype_binary_20000,43,50,loro_bce,na,0.1656010071270628,1.0
covtype_binary_20000,43,50,c_prune_loro_bce,0.75,0.1035976685953539,0.8461297123440089
covtype_binary_20000,43,50,c_prune_loro_bce,0.85,0.10139899255243547,0.8968810112043735
covtype_binary_20000,43,50,c_prune_loro_bce,0.9,0.1051258068245883,0.9370987481246731
covtype_binary_20000,43,100,budget_prune,na,0.1444609007728785,1.0
covtype_binary_20000,43,100,loro_bce,na,0.13930997479616142,1.0
covtype_binary_20000,43,100,c_prune_loro_bce,0.75,0.09670069571639633,0.8461297123440089
covtype_binary_20000,43,100,c_prune_loro_bce,0.85,0.10319017049981132,0.8968810112043735
covtype_binary_20000,43,100,c_prune_loro_bce,0.9,0.10719745905851397,0.9370987481246731
