dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,25,loro_bce,0.75,23,31,0.06382978723404255,0.5454545454545454
covtype_binary_20000,25,loro_bce,0.75,23,37,0.02040816326530612,0.5555555555555556
covtype_binary_20000,25,loro_bce,0.75,23,41,0.08695652173913043,0.5
covtype_binary_20000,25,loro_bce,0.75,23,43,0.06382978723404255,0.6
covtype_binary_20000,25,loro_bce,0.75,29,31,0.02040816326530612,0.5454545454545454
covtype_binary_20000,25,loro_bce,0.75,29,37,0.06382978723404255,0.75
covtype_binary_20000,25,loro_bce,0.75,29,41,0.13636363636363635,0.5
covtype_binary_20000,25,loro_bce,0.75,29,43,0.041666666666666664,0.45454545454545453
covtype_binary_20000,25,loro_bce,0.75,31,37,0.19047619047619047,0.5
covtype_binary_20000,25,loro_bce,0.75,31,41,0.13636363636363635,0.7777777777777778
covtype_binary_20000,25,loro_bce,0.75,31,43,0.16279069767441862,0.5454545454545454
covtype_binary_20000,25,loro_bce,0.75,37,41,0.3157894736842105,0.625
covtype_binary_20000,25,loro_bce,0.75,37,43,0.21951219512195122,0.5555555555555556
covtype_binary_20000,25,loro_bce,0.75,41,43,0.16279069767441862,0.6666666666666666
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,7,0.02040816326530612,0.5294117647058824
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,13,0.02040816326530612,0.47058823529411764
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,19,0.041666666666666664,0.5333333333333333
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,23,0.02040816326530612,0.5333333333333333
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,29,0.08695652173913043,0.375
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,31,0.0,0.5625
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,37,0.08695652173913043,0.4444444444444444
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,41,0.02040816326530612,0.42105263157894735
covtype_binary_20000,25,c_prune_loro_bce,0.75,1,43,0.041666666666666664,0.4
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,13,0.0,0.3157894736842105
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,19,0.06382978723404255,0.35294117647058826
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,23,0.06382978723404255,0.4375
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,29,0.041666666666666664,0.2222222222222222
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,31,0.02040816326530612,0.5625
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,37,0.0,0.3684210526315789
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,41,0.0,0.5882352941176471
covtype_binary_20000,25,c_prune_loro_bce,0.75,7,43,0.06382978723404255,0.4
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,19,0.02040816326530612,0.5714285714285714
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,23,0.02040816326530612,0.6923076923076923
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,29,0.0,0.5
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,31,0.02040816326530612,0.4117647058823529
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,37,0.02040816326530612,0.6666666666666666
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,41,0.041666666666666664,0.3
covtype_binary_20000,25,c_prune_loro_bce,0.75,13,43,0.02040816326530612,0.35
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,23,0.08695652173913043,0.6666666666666666
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,29,0.02040816326530612,0.46153846153846156
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,31,0.02040816326530612,0.375
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,37,0.0,0.4375
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,41,0.0,0.3333333333333333
