dataset,seed,tau,budget_ref,n_rules,n_val,loro_importance_sec,corr_matrix_sec,cluster_select_sec,baseline_select_sec,total_selection_sec,refit_eval_3methods_sec,f1_budget_prune_ref,f1_loro_bce_ref,f1_c_prune_ref,effective_rules_c_prune_ref
covtype_binary_20000,19,0.75,100,936,3000,0.8223201809887541,0.022417885993490927,0.007321773999137804,0.00040217900823336095,0.8520598409813829,0.5646290250006132,0.7547363031233999,0.7677175283732661,0.7699180938198064,77
covtype_binary_20000,23,0.75,100,936,3000,0.8089222440030426,0.016519247001269832,0.009281360995373689,0.00031802000012248755,0.8347228519996861,0.5343735639908118,0.7613550815558344,0.7686990866452728,0.7775049115913556,75
covtype_binary_20000,29,0.75,100,936,3000,0.8482420709915459,0.016372640006011352,0.010433985997224227,0.0004029499978059903,0.8750486969947815,0.5921541090065148,0.7624113475177305,0.7795121951219512,0.7863247863247863,78
