bootstrap_iter,seed,budget,method,f1,roc_auc,pr_auc,fidelity,agreement,effective_selected_rules
0,19,25,budget_prune,0.22192866578599735,0.587172607879925,0.591725306394452,0.24242787481954597,0.5895,25
0,19,25,loro_bce,0.758137205808713,0.8245931207004378,0.7917897799527339,0.07896346916967098,0.92975,25
0,19,25,c_prune_loro_bce,0.7658930373360242,0.8337365853658537,0.8030105132583603,0.05344234391962407,0.96375,25
0,19,50,budget_prune,0.648539778449144,0.7119842401500938,0.7028736674743025,0.20275832028926385,0.69925,50
0,19,50,loro_bce,0.7639484978540773,0.8319434646654158,0.798087477451257,0.058746263706396545,0.953,50
0,19,50,c_prune_loro_bce,0.7705649157581764,0.8411512195121951,0.8115324672334293,0.05597092941421423,0.94425,50
0,19,100,budget_prune,0.7691169215589542,0.832777736085053,0.7968478914282392,0.06742614697021929,0.93325,100
0,19,100,loro_bce,0.7656565656565657,0.8360727954971857,0.8056365356935509,0.05447351730117629,0.95975,100
0,19,100,c_prune_loro_bce,0.7727385377942999,0.8434263914946841,0.8125675271007405,0.059860279489573794,0.9395,79
0,23,25,budget_prune,0.6108094129816395,0.6600003752345216,0.6734029888862906,0.2347987386369176,0.63275,25
0,23,25,loro_bce,0.7612053684477083,0.8408155096935586,0.816449523240124,0.06468717076731778,0.92725,25
0,23,25,c_prune_loro_bce,0.7604373757455268,0.843183239524703,0.8152557891747023,0.052168834648776086,0.9445,25
0,23,50,budget_prune,0.6641179683233206,0.7580475297060664,0.7596810376221044,0.19038145193718772,0.758,50
0,23,50,loro_bce,0.7654626422563088,0.846196372732958,0.819959435563151,0.05426823302309897,0.9465,50
0,23,50,c_prune_loro_bce,0.7742093650404511,0.8531899937460914,0.8248395843886487,0.03484411230847567,0.96825,50
0,23,100,budget_prune,0.7715836211149482,0.8475677298311443,0.8235124498680405,0.05098427164487832,0.953,100
0,23,100,loro_bce,0.7699507389162562,0.8498489055659787,0.8244071475518391,0.0446387071713978,0.9545,100
0,23,100,c_prune_loro_bce,0.7757307786784574,0.8550771732332709,0.8277552702669668,0.039049265659534954,0.96175,76
0,29,25,budget_prune,0.7503700049333991,0.8027864915572234,0.7673965248882268,0.09575672987567453,0.89625,25
0,29,25,loro_bce,0.7695694716242661,0.8278531582238898,0.7874105908900135,0.05833435878542632,0.93925,25
0,29,25,c_prune_loro_bce,0.7844282238442822,0.8361010631644777,0.7923978914409999,0.04068770896677728,0.96775,25
0,29,50,budget_prune,0.7704511650966782,0.8287864915572233,0.786252383365599,0.05633640202470982,0.93825,50
0,29,50,loro_bce,0.7817333660692365,0.8380565353345842,0.8019936933092743,0.036724986320185025,0.9725,50
0,29,50,c_prune_loro_bce,0.7814859926918393,0.8402381488430269,0.79636819847035,0.033579036657208496,0.971,50
0,29,100,budget_prune,0.7830119599707103,0.8372795497185742,0.7951231016254684,0.039965588757634604,0.9625,100
0,29,100,loro_bce,0.7839220462850183,0.8402669168230144,0.8003283881702605,0.03342559026201369,0.975,100
0,29,100,c_prune_loro_bce,0.7865168539325843,0.8434614133833646,0.8009348948672006,0.038107297733356894,0.96325,77
1,19,25,budget_prune,0.22192866578599735,0.587172607879925,0.591725306394452,0.24242787481955294,0.5895,25
1,19,25,loro_bce,0.758137205808713,0.8245931207004378,0.7917897799527339,0.07896346918641337,0.92975,25
1,19,25,c_prune_loro_bce,0.758656330749354,0.8228913070669168,0.7979488736619678,0.05499355439099165,0.97575,25
1,19,50,budget_prune,0.648539778449144,0.7119842401500938,0.7028736674743025,0.20275832031962585,0.69925,50
1,19,50,loro_bce,0.7634435748548346,0.8320577861163228,0.798402095635412,0.0589613945493292,0.9535,50
1,19,50,c_prune_loro_bce,0.7715559960356789,0.8419534709193246,0.8122123510762869,0.05655924565646335,0.94375,50
1,19,100,budget_prune,0.7684340320591861,0.8328252657911195,0.7970360555383658,0.06750315907157552,0.932,100
1,19,100,loro_bce,0.7656565656565657,0.8360782989368354,0.805754026501648,0.05444088279151112,0.95975,100
1,19,100,c_prune_loro_bce,0.7730759712942341,0.8434143839899939,0.8120920674093184,0.05964576104295881,0.9395,77
1,23,25,budget_prune,0.6108094129816395,0.6600003752345216,0.6734029888862906,0.2347987386426193,0.63275,25
