dataset,budget,method,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fidelity_mean,fidelity_std,agreement_mean,agreement_std
covtype_binary_20000,25,budget_prune,3,0.743288115506419,0.005826908401898384,0.8142505732749635,0.008775844055987927,0.7669718340710052,0.01676826556220293,0.08047845447570871,0.001803113002781536,0.9086666666666666,0.012963624321753409
covtype_binary_20000,25,loro_f1,3,0.7646017231636074,0.0061514349130009525,0.8272757973733584,0.008132498870521863,0.7822240466517554,0.01477984563753199,0.06043685010318372,0.012262813889584197,0.9365,0.01622883236711748
covtype_binary_20000,25,loro_bce,3,0.7467114920592064,0.02091968921789373,0.8133700229309986,0.012949158999220507,0.7807574135546284,0.007954787643055263,0.08525165499124393,0.02751903653256502,0.9150833333333334,0.04374420596553965
covtype_binary_20000,25,sloro_f1,3,0.76501614337914,0.0029072700139281954,0.8284371065249114,0.006038406022140919,0.789935425365913,0.008067901522350337,0.07430036991514408,0.023153827633558208,0.9037499999999999,0.04259107887809369
covtype_binary_20000,25,sloro_bce,3,0.5042597477532926,0.2636377411238212,0.6446695017719408,0.03993561522703864,0.6063925493707771,0.020017998947779576,0.22262021447341881,0.028734432885397093,0.6075833333333334,0.0864480415561214
covtype_binary_20000,50,budget_prune,3,0.7522095247430077,0.003808280253693025,0.8260923076923078,0.002474731976526087,0.782376130241126,0.0009606148733249641,0.0647995132480138,0.005461501379449107,0.9239166666666667,0.00886550744301882
covtype_binary_20000,50,loro_f1,3,0.7730049727854262,0.0032132011641372634,0.8406599958307275,0.006107687102680984,0.8060147286459577,0.009772378623457714,0.044650992462814024,0.009567091634349179,0.9589166666666666,0.013137626201952225
covtype_binary_20000,50,loro_bce,3,0.7658054239651689,0.01040583305956869,0.8352545340838023,0.0013483555390959145,0.8016838778571344,0.004385368203800209,0.05584968609503905,0.011446535277213841,0.95075,0.017400909937893113
covtype_binary_20000,50,sloro_f1,3,0.7666213176531839,0.0031088074528503127,0.8299816552011674,0.006600304754979151,0.7907216759631894,0.008610665481512103,0.07207878852100204,0.023139043032427795,0.9100833333333334,0.043628322859761114
covtype_binary_20000,50,sloro_bce,3,0.6149601261830198,0.12370367245762845,0.6926804669585157,0.031363817469595476,0.6493398914419868,0.01704258933146272,0.2041402871669904,0.027036881089579162,0.6665833333333333,0.06383322454298826
covtype_binary_20000,100,budget_prune,3,0.7584198859496039,0.002377666028332121,0.8356309360016677,0.0031331479895911818,0.795940850407547,0.004234888433941548,0.05693727425810864,0.005420016043936354,0.9435,0.00764852927038914
covtype_binary_20000,100,loro_f1,3,0.7769349344434345,0.0023847360936736384,0.8438743381279966,0.007220435432985406,0.8101700579425741,0.011845691461715824,0.04361971590121944,0.010456823893128563,0.9574166666666667,0.015364099568655322
covtype_binary_20000,100,loro_bce,3,0.7718612475821373,0.005298849109875859,0.8416441942880968,0.006379699103357243,0.8091844522268334,0.012190275030053793,0.04665424574626536,0.007307618032876146,0.9594166666666667,0.007107312353406797
covtype_binary_20000,100,sloro_f1,3,0.7680277531601737,0.004361210768213312,0.8316962268084219,0.005808137836355518,0.7932539999793594,0.007559339842265069,0.07075413953701626,0.02225117728646475,0.9111666666666667,0.04231938746668666
covtype_binary_20000,100,sloro_bce,3,0.6796072373281222,0.03290912819996036,0.7346825515947467,0.0037979043225703827,0.6966144621417527,0.023780682069634008,0.179882261660558,0.007215773453964354,0.7059166666666666,0.026498689695069
covtype_binary_20000,200,budget_prune,3,0.7768509384347587,0.00346771396740101,0.8445254951011049,0.0029463030932089856,0.8083047469995778,0.00648209713208053,0.053127220397786556,0.00898336736517004,0.94725,0.0150540692173246
covtype_binary_20000,200,loro_f1,3,0.781432152842463,0.005673711709653212,0.8471027725661873,0.006107536326903234,0.8131096653442355,0.012041016857875987,0.047932997188347766,0.010496661930909075,0.95375,0.01316402927171867
covtype_binary_20000,200,loro_bce,3,0.778822380179208,0.005513470850116045,0.8465587658953513,0.007120059440466047,0.8129449444767914,0.013419094480776408,0.045942803321214566,0.00945673960334132,0.9539166666666666,0.01288463770887207
covtype_binary_20000,200,sloro_f1,3,0.7690728981922632,0.007610092368294224,0.8393253283302063,0.005688979181668064,0.806710400101081,0.007568445847891063,0.0637934069688709,0.018045204181870195,0.9211666666666667,0.030684098306596703
covtype_binary_20000,200,sloro_bce,3,0.7108881391672011,0.016593200200187373,0.7721442568271836,0.0027542088716860117,0.7445390163483898,0.0039004150430560613,0.15236761474183783,0.010270231467998487,0.7493333333333333,0.02682064917600285
covtype_binary_20000,400,budget_prune,3,0.7811248731911807,0.004433729493647089,0.8500872211799041,0.005969932554925971,0.817631033923023,0.012237418761353033,0.05719961446448633,0.008915170446939466,0.9436666666666667,0.010656244908763813
covtype_binary_20000,400,loro_f1,3,0.7812957106133553,0.003917043408472558,0.84926137169064,0.006344267875539207,0.8157877200092026,0.012488242382516057,0.054491558587955645,0.008859841157469331,0.9444166666666667,0.012031786604195092
covtype_binary_20000,400,loro_bce,3,0.7796582901364976,0.005001323385603637,0.8486679174484053,0.006308153106664985,0.8165812348751724,0.012070905141344353,0.0517663326933283,0.010281203042618963,0.9471666666666667,0.011496980279862835
