dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
breast_cancer,19,25,0.75,1,4,50,1.8331753625363406e-05,1
breast_cancer,19,25,0.75,2,8,104,5.0774367676822973e-05,1
breast_cancer,19,25,0.75,3,8,40,1.1493758882102564e-05,1
breast_cancer,19,25,0.75,4,1,13,-1.614538290455568e-05,1
breast_cancer,19,25,0.75,5,3,22,2.1793183269802965e-05,1
breast_cancer,19,25,0.75,6,1,126,4.920015563155203e-06,1
breast_cancer,19,25,0.75,7,85,71,7.697993444171283e-05,1
breast_cancer,19,25,0.75,8,6,20,8.852639058979511e-06,1
breast_cancer,19,25,0.75,9,1,36,6.035255071691961e-05,1
breast_cancer,19,25,0.75,10,2,118,4.836972182014829e-06,1
breast_cancer,19,25,0.75,11,2,48,5.566260560056942e-05,1
breast_cancer,19,25,0.75,12,1,37,-3.660154639046134e-05,1
breast_cancer,19,25,0.75,13,2,31,0.5918824139359647,1
breast_cancer,19,25,0.75,14,1,96,0.020468727341371038,1
breast_cancer,19,25,0.75,15,1,38,0.003943349049828676,1
breast_cancer,19,25,0.75,16,1,63,0.008219368543798941,1
breast_cancer,19,25,0.75,17,1,80,0.003999630738808354,1
breast_cancer,19,25,0.85,1,4,50,1.8331753625363406e-05,1
breast_cancer,19,25,0.85,2,7,104,5.0774367676822973e-05,1
breast_cancer,19,25,0.85,3,1,3,-1.732573146300334e-05,0
breast_cancer,19,25,0.85,4,3,40,1.1493758882102564e-05,1
breast_cancer,19,25,0.85,5,5,108,3.735010695154334e-06,1
breast_cancer,19,25,0.85,6,1,13,-1.614538290455568e-05,1
breast_cancer,19,25,0.85,7,3,22,2.1793183269802965e-05,1
breast_cancer,19,25,0.85,8,1,126,4.920015563155203e-06,1
breast_cancer,19,25,0.85,9,2,74,-1.417767583455215e-07,1
breast_cancer,19,25,0.85,10,22,27,1.3912347137949935e-05,1
breast_cancer,19,25,0.85,11,15,32,1.650873453204124e-05,1
breast_cancer,19,25,0.85,12,6,11,8.277075629566089e-06,1
breast_cancer,19,25,0.85,13,2,57,2.133826691253296e-06,1
breast_cancer,19,25,0.85,14,38,71,7.697993444171283e-05,1
breast_cancer,19,25,0.85,15,5,20,8.852639058979511e-06,1
breast_cancer,19,25,0.85,16,1,34,-7.691836461452828e-06,1
breast_cancer,19,25,0.85,17,1,36,6.035255071691961e-05,1
breast_cancer,19,25,0.85,18,2,118,4.836972182014829e-06,1
breast_cancer,19,25,0.85,19,1,48,5.566260560056942e-05,1
breast_cancer,19,25,0.85,20,1,53,1.1929741080527606e-05,1
breast_cancer,19,25,0.85,21,1,37,-3.660154639046134e-05,0
breast_cancer,19,25,0.85,22,1,31,0.5918824139359647,1
breast_cancer,19,25,0.85,23,1,122,0.13978268484869888,1
breast_cancer,19,25,0.85,24,1,96,0.020468727341371038,1
breast_cancer,19,25,0.85,25,1,38,0.003943349049828676,1
breast_cancer,19,25,0.85,26,1,63,0.008219368543798941,1
breast_cancer,19,25,0.85,27,1,80,0.003999630738808354,1
breast_cancer,19,25,0.9,1,2,85,5.680481989393804e-06,1
breast_cancer,19,25,0.9,2,2,50,1.8331753625363406e-05,1
breast_cancer,19,25,0.9,3,6,104,5.0774367676822973e-05,1
breast_cancer,19,25,0.9,4,1,23,3.630450231602994e-06,0
breast_cancer,19,25,0.9,5,1,3,-1.732573146300334e-05,0
breast_cancer,19,25,0.9,6,3,40,1.1493758882102564e-05,1
breast_cancer,19,25,0.9,7,5,108,3.735010695154334e-06,1
breast_cancer,19,25,0.9,8,1,13,-1.614538290455568e-05,0
breast_cancer,19,25,0.9,9,3,22,2.1793183269802965e-05,1
breast_cancer,19,25,0.9,10,1,126,4.920015563155203e-06,1
breast_cancer,19,25,0.9,11,2,74,-1.417767583455215e-07,0
breast_cancer,19,25,0.9,12,22,27,1.3912347137949935e-05,1
breast_cancer,19,25,0.9,13,3,114,4.6287270580158e-06,1
breast_cancer,19,25,0.9,14,12,32,1.650873453204124e-05,1
breast_cancer,19,25,0.9,15,6,11,8.277075629566089e-06,1
breast_cancer,19,25,0.9,16,2,57,2.133826691253296e-06,0
breast_cancer,19,25,0.9,17,2,93,2.005330916954491e-05,1
breast_cancer,19,25,0.9,18,35,73,5.963773106738672e-05,1
breast_cancer,19,25,0.9,19,1,71,7.697993444171283e-05,1
breast_cancer,19,25,0.9,20,5,20,8.852639058979511e-06,1
breast_cancer,19,25,0.9,21,1,34,-7.691836461452828e-06,0
breast_cancer,19,25,0.9,22,1,36,6.035255071691961e-05,1
breast_cancer,19,25,0.9,23,2,118,4.836972182014829e-06,1
breast_cancer,19,25,0.9,24,1,48,5.566260560056942e-05,1
breast_cancer,19,25,0.9,25,1,53,1.1929741080527606e-05,1
breast_cancer,19,25,0.9,26,1,37,-3.660154639046134e-05,0
