dataset,seed,budget,corr_threshold,cluster_id,cluster_size,representative_rule_id,representative_importance,selected
breast_cancer,19,25,0.75,1,60,15,0.000363147610524292,1
breast_cancer,19,25,0.75,2,2,26,0.3344116811424007,1
breast_cancer,19,25,0.75,3,1,3,0.00832135548062174,1
breast_cancer,19,25,0.75,4,1,58,0.007588942764977388,1
breast_cancer,19,25,0.85,1,60,15,0.000363147610524292,1
breast_cancer,19,25,0.85,2,2,26,0.3344116811424007,1
breast_cancer,19,25,0.85,3,1,3,0.00832135548062174,1
breast_cancer,19,25,0.85,4,1,58,0.007588942764977388,1
breast_cancer,19,25,0.9,1,56,15,0.000363147610524292,1
breast_cancer,19,25,0.9,2,4,22,0.00013914371756460625,1
breast_cancer,19,25,0.9,3,2,26,0.3344116811424007,1
breast_cancer,19,25,0.9,4,1,3,0.00832135548062174,1
breast_cancer,19,25,0.9,5,1,58,0.007588942764977388,1
breast_cancer,19,50,0.75,1,60,15,0.000363147610524292,1
breast_cancer,19,50,0.75,2,2,26,0.3344116811424007,1
breast_cancer,19,50,0.75,3,1,3,0.00832135548062174,1
breast_cancer,19,50,0.75,4,1,58,0.007588942764977388,1
breast_cancer,19,50,0.85,1,60,15,0.000363147610524292,1
breast_cancer,19,50,0.85,2,2,26,0.3344116811424007,1
breast_cancer,19,50,0.85,3,1,3,0.00832135548062174,1
breast_cancer,19,50,0.85,4,1,58,0.007588942764977388,1
breast_cancer,19,50,0.9,1,56,15,0.000363147610524292,1
breast_cancer,19,50,0.9,2,4,22,0.00013914371756460625,1
breast_cancer,19,50,0.9,3,2,26,0.3344116811424007,1
breast_cancer,19,50,0.9,4,1,3,0.00832135548062174,1
breast_cancer,19,50,0.9,5,1,58,0.007588942764977388,1
breast_cancer,23,25,0.75,1,58,9,0.0003657117192403976,1
breast_cancer,23,25,0.75,2,1,46,0.00030896309557007853,1
breast_cancer,23,25,0.75,3,2,31,0.382204300078023,1
breast_cancer,23,25,0.75,4,1,23,0.04478398879026664,1
breast_cancer,23,25,0.75,5,1,39,0.006557718836480677,1
breast_cancer,23,25,0.75,6,1,16,0.003908884790980869,1
breast_cancer,23,25,0.85,1,58,9,0.0003657117192403976,1
breast_cancer,23,25,0.85,2,1,46,0.00030896309557007853,1
breast_cancer,23,25,0.85,3,1,31,0.382204300078023,1
breast_cancer,23,25,0.85,4,1,45,0.19049146763009392,1
breast_cancer,23,25,0.85,5,1,23,0.04478398879026664,1
breast_cancer,23,25,0.85,6,1,39,0.006557718836480677,1
breast_cancer,23,25,0.85,7,1,16,0.003908884790980869,1
breast_cancer,23,25,0.9,1,58,9,0.0003657117192403976,1
breast_cancer,23,25,0.9,2,1,46,0.00030896309557007853,1
breast_cancer,23,25,0.9,3,1,31,0.382204300078023,1
breast_cancer,23,25,0.9,4,1,45,0.19049146763009392,1
breast_cancer,23,25,0.9,5,1,23,0.04478398879026664,1
breast_cancer,23,25,0.9,6,1,39,0.006557718836480677,1
breast_cancer,23,25,0.9,7,1,16,0.003908884790980869,1
breast_cancer,23,50,0.75,1,58,9,0.0003657117192403976,1
breast_cancer,23,50,0.75,2,1,46,0.00030896309557007853,1
breast_cancer,23,50,0.75,3,2,31,0.382204300078023,1
