dataset,budget,method,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,fidelity_l1_to_full_prob_mean,fidelity_l1_to_full_prob_std,agreement_to_full_mean,agreement_to_full_std,jaccard_to_budget_prune_mean,jaccard_to_budget_prune_std,missing_selected_rules_total
covtype_binary_20000,100,budget_prune_h_lr,3,0.7634104106333442,0.006816195261166561,0.8355575568063374,0.005476338053879657,0.7899326084285514,0.007964571528145606,0.14966492830297431,0.008752646396729907,0.84025,0.009092121131323863,1.0,0.0,0
covtype_binary_20000,100,stable_budget_prune_h_lr,3,0.7617262812677857,0.006536500606297416,0.8316660412757975,0.004395742065246429,0.7830583054906431,0.0009545958080256059,0.15511896276935083,0.006743236390284811,0.8391666666666666,0.012453803524314246,0.31016917142903944,0.05127293058636859,9
covtype_binary_20000,200,budget_prune_h_lr,3,0.7655909175197089,0.006868929329821686,0.8419227850740045,0.006724783077646729,0.8049212916597686,0.010414398568408915,0.1444416750662426,0.010157639104991742,0.84225,0.011182203122223601,1.0,0.0,0
covtype_binary_20000,200,stable_budget_prune_h_lr,3,0.7670941145974568,0.006778255311709747,0.8401735251198666,0.004998670390936019,0.7975716337946028,0.004176664908435549,0.14634779580543716,0.007795240690242587,0.844,0.010303721010715835,0.4342522865122829,0.03442242014584438,14
covtype_binary_20000,400,budget_prune_h_lr,3,0.777083608074591,0.007985905537082573,0.8551093600166771,0.010056669690508105,0.8229919282181946,0.015031127967141854,0.12165812838513665,0.019696989986073582,0.8660833333333333,0.011694609394455577,1.0,0.0,0
covtype_binary_20000,400,stable_budget_prune_h_lr,3,0.773907632485017,0.0026145755717397294,0.8479155305399207,0.002840252187156261,0.8120043395679676,0.006757305496518299,0.1332950000840799,0.003013864635771002,0.8561666666666666,0.010376924185689885,0.7464426605217347,0.020266334130388575,70
