dataset,method,budget,n_runs,elapsed_sec_mean,elapsed_sec_std,elapsed_sec_min,elapsed_sec_max
breast_cancer,budget_prune,100,6,16.61432679494222,1.622297372717712,14.778858661651611,19.557788133621216
breast_cancer,budget_prune,200,6,16.831092437108357,1.7998397607821033,14.370772361755371,19.53854250907898
breast_cancer,budget_prune,400,6,15.7009889682134,1.010434083877358,14.445574760437012,17.185709476470947
breast_cancer,l1_budget,100,6,17.15316375096639,1.498291706838292,14.826563835144043,19.393850326538086
breast_cancer,l1_budget,200,6,17.05791997909546,0.9662180581792729,15.953649282455444,19.01817560195923
breast_cancer,l1_budget,400,6,17.14915124575297,1.5079428336464067,15.304070711135864,19.958810567855835
covtype_binary_20000,budget_prune,100,4,123.65302497148514,25.058502459225114,104.51801800727844,166.76022481918335
covtype_binary_20000,budget_prune,200,4,118.12487071752548,19.75132319490586,103.79016709327698,151.9538073539734
covtype_binary_20000,budget_prune,25,3,103.7172125975291,1.1722652252867265,102.06266188621521,104.63479351997375
covtype_binary_20000,budget_prune,400,4,83.09051662683487,44.275258248313996,6.871808767318726,115.90316390991211
covtype_binary_20000,budget_prune,50,3,105.11400715510051,2.6653210381014225,102.06623387336731,108.55862617492676
covtype_binary_20000,budget_prune,full,3,103.12942520777385,1.3250464160226854,101.41406202316284,104.64038228988647
covtype_binary_20000,l1_budget,100,3,114.69710342089336,25.23465909869031,93.43017315864563,150.14931726455688
covtype_binary_20000,l1_budget,200,3,110.06625334421794,26.777845679184587,90.75257635116577,147.9333016872406
covtype_binary_20000,l1_budget,25,3,115.66332896550496,24.395852786604824,94.91438865661621,149.90927910804749
covtype_binary_20000,l1_budget,400,3,110.67651653289795,26.887870579116743,85.63104248046875,147.9778642654419
covtype_binary_20000,l1_budget,50,3,115.11686722437541,26.5694522301714,93.5565676689148,152.5478856563568
covtype_binary_20000,l1_budget,full,3,111.58280030886333,28.563339704444555,88.68725347518921,151.85143446922302
covtype_binary_20000,random_b,100,18,386.8970038493474,558.0743743138978,77.53858613967896,1614.5063178539276
covtype_binary_20000,random_b,200,18,375.88152352968854,536.1867581898531,78.97478675842285,1443.4520213603973
covtype_binary_20000,random_b,25,18,472.3819839424557,624.6606654615388,78.1634476184845,1614.178655385971
covtype_binary_20000,random_b,400,18,366.38876713646783,518.242795283793,77.75710558891296,1419.8926112651825
covtype_binary_20000,random_b,50,18,393.3801765176985,556.0786422773299,77.5596649646759,1469.3939130306244
covtype_binary_20000,random_b,full,15,437.4277418136597,575.5188100048464,77.29040169715881,1479.419635295868
susy_binary_200000,budget_prune,100,6,27.07999579111735,1.9364116381016403,22.917114734649658,28.827484369277954
susy_binary_200000,budget_prune,200,6,25.73951192696889,0.9428341662511228,24.924318552017212,27.60372042655945
susy_binary_200000,budget_prune,400,6,26.01489265759786,1.5003195387521717,24.092984199523926,28.44015073776245
susy_binary_200000,l1_budget,100,6,27.410953164100647,3.8381112734558704,22.475074291229248,31.73123288154602
susy_binary_200000,l1_budget,200,6,27.527613759040833,3.9227783175497475,22.431209087371826,32.15962553024292
susy_binary_200000,l1_budget,400,6,27.558310508728027,3.8853849483455876,22.49630093574524,31.535022497177124
