dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
breast_cancer,100,c_prune_loro_bce,0.9,23,29,0.08823529411764706,0.6666666666666666
breast_cancer,25,budget_prune,0.95,19,23,0.13636363636363635,0.5714285714285714
breast_cancer,25,budget_prune,0.95,19,29,0.041666666666666664,0.5714285714285714
breast_cancer,25,budget_prune,0.95,23,29,0.041666666666666664,0.5714285714285714
breast_cancer,25,loro_bce,0.95,19,23,0.08695652173913043,0.4
breast_cancer,25,loro_bce,0.95,19,29,0.041666666666666664,0.5
breast_cancer,25,loro_bce,0.95,23,29,0.08695652173913043,0.6666666666666666
breast_cancer,25,c_prune_loro_bce,0.95,19,23,0.08695652173913043,0.4
breast_cancer,25,c_prune_loro_bce,0.95,19,29,0.06382978723404255,0.5
breast_cancer,25,c_prune_loro_bce,0.95,23,29,0.08695652173913043,0.6666666666666666
breast_cancer,50,budget_prune,0.95,19,23,0.14942528735632185,0.6
breast_cancer,50,budget_prune,0.95,19,29,0.13636363636363635,0.5
breast_cancer,50,budget_prune,0.95,23,29,0.21951219512195122,0.625
breast_cancer,50,loro_bce,0.95,19,23,0.13636363636363635,0.5333333333333333
breast_cancer,50,loro_bce,0.95,19,29,0.14942528735632185,0.6
breast_cancer,50,loro_bce,0.95,23,29,0.20481927710843373,0.5625
breast_cancer,50,c_prune_loro_bce,0.95,19,23,0.18181818181818182,0.4666666666666667
breast_cancer,50,c_prune_loro_bce,0.95,19,29,0.12359550561797752,0.6
breast_cancer,50,c_prune_loro_bce,0.95,23,29,0.12345679012345678,0.5
breast_cancer,100,budget_prune,0.95,19,23,0.3333333333333333,0.6
breast_cancer,100,budget_prune,0.95,19,29,0.3333333333333333,0.5
breast_cancer,100,budget_prune,0.95,23,29,0.3793103448275862,0.625
breast_cancer,100,loro_bce,0.95,19,23,0.30718954248366015,0.5625
breast_cancer,100,loro_bce,0.95,19,29,0.3157894736842105,0.6
breast_cancer,100,loro_bce,0.95,23,29,0.41843971631205673,0.6875
breast_cancer,100,c_prune_loro_bce,0.95,19,23,0.19101123595505617,0.5333333333333333
breast_cancer,100,c_prune_loro_bce,0.95,19,29,0.20535714285714285,0.5625
breast_cancer,100,c_prune_loro_bce,0.95,23,29,0.14432989690721648,0.5
