dataset,model,rule_budget,n_seeds,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,elapsed_sec_mean,elapsed_sec_std
breast_cancer,rulefit,100,6,0.9587111510740269,0.014662104767780189,0.9902998236331569,0.008103913701813396,0.993705680601287,0.006199436503062677,1.033886154492696,0.04528534640870338
breast_cancer,rulefit,200,6,0.960307123414913,0.009780839336084408,0.9893628747795414,0.010128655099135714,0.992395501179093,0.009169984693233895,1.2029238939285278,0.02729142011005574
breast_cancer,rulefit,400,6,0.9578245093237596,0.011826069531050368,0.9874889770723104,0.010834618368082026,0.990900762637848,0.010740187277445731,1.3230012655258179,0.025240585496984845
susy_binary_200000,rulefit,100,6,0.7298251342787996,0.001623251527402231,0.8651737213154578,0.000747284806060207,0.8703141028168189,0.0010331643545257567,388.54804082711536,65.06334780650853
susy_binary_200000,rulefit,200,6,0.7321960096899561,0.001511725654121847,0.8662968939639861,0.0008247661641273722,0.8715177722699725,0.0009568408280281124,1362.2977529764175,229.68724868305418
susy_binary_200000,rulefit,400,6,0.7317759391068119,0.0018693049727664184,0.8660617193647148,0.0008318991466617539,0.8712133253672383,0.0009542990262022947,15301.197138706842,2157.323933403996
