dataset,seed,subset,rule_count,mean_abs_corr,median_abs_corr,p75_abs_corr,p90_abs_corr
covtype_binary_20000,1,top_100,100,0.13620139649604127,0.06832941421077932,0.15394714651282115,0.3245596031989815
covtype_binary_20000,1,top_200,200,0.13928931015559556,0.0731699843205649,0.15887397197756487,0.32015636631364913
covtype_binary_20000,1,top_400,400,0.1567210683254509,0.08475795620546615,0.18672966035858202,0.37544756156542974
covtype_binary_20000,1,random_400,400,0.12717236083456002,0.07264606103380711,0.1530171589544923,0.27506777221582607
covtype_binary_20000,7,top_100,100,0.16093348746667688,0.09322339030490998,0.18046839799841052,0.3801512938184445
covtype_binary_20000,7,top_200,200,0.14668862992389245,0.08008281955457544,0.1637369315828529,0.3562133828662171
covtype_binary_20000,7,top_400,400,0.15314170215116693,0.0809466263739562,0.17716435106652856,0.37689195540090425
covtype_binary_20000,7,random_400,400,0.119477941406251,0.06566935930702791,0.13478843440802013,0.2431598697077552
covtype_binary_20000,13,top_100,100,0.1463025770620883,0.07321284669864334,0.17199120788008376,0.3623486495092054
covtype_binary_20000,13,top_200,200,0.14037561539659146,0.07365018451564168,0.1625640957363922,0.3411099915920535
covtype_binary_20000,13,top_400,400,0.15141205425570448,0.07956927746929514,0.18005969008431658,0.34723176505856845
covtype_binary_20000,13,random_400,400,0.12478486215597007,0.06974164794673274,0.14801624092467527,0.26397665074006416
covtype_binary_20000,31,top_100,100,0.16285472491980443,0.08948924919244611,0.18120414557733708,0.40709870907994505
covtype_binary_20000,31,top_200,200,0.15301263853301847,0.08522416917873887,0.17363754110854787,0.3754302830926384
covtype_binary_20000,31,top_400,400,0.15733386093352364,0.08561005858262156,0.18120414519380973,0.37463891355058415
covtype_binary_20000,31,random_400,400,0.13271961493344664,0.0773796796843096,0.16472786306313075,0.2918472883878048
covtype_binary_20000,37,top_100,100,0.14843844062821082,0.07719605445000344,0.1678411529524353,0.34597391933195376
covtype_binary_20000,37,top_200,200,0.14591911601353877,0.07782188864516996,0.16636374713993268,0.35136353579182505
covtype_binary_20000,37,top_400,400,0.14918596889986405,0.07950219306924869,0.1718465024724857,0.35048693192498626
covtype_binary_20000,37,random_400,400,0.12482071498417885,0.07011944800595514,0.1466142818147984,0.26477274336084494
covtype_binary_20000,41,top_100,100,0.16548247172226635,0.0981846237591743,0.20001935199688015,0.39299682659746055
covtype_binary_20000,41,top_200,200,0.1479040955546207,0.08116420528283186,0.17352366026853344,0.3497759474253168
covtype_binary_20000,41,top_400,400,0.15042917277052384,0.08116420528283154,0.17394183967042604,0.3469433507517021
covtype_binary_20000,41,random_400,400,0.12952985639065565,0.07473853957574109,0.1513537184688788,0.26470049445554666
covtype_binary_20000,43,top_100,100,0.14514213560082184,0.0737582824690586,0.16793518631524407,0.34757375059242424
covtype_binary_20000,43,top_200,200,0.13786873751619055,0.06972929838608727,0.1501350015105485,0.31852156601435305
covtype_binary_20000,43,top_400,400,0.14831716771382364,0.07746814998700832,0.17076862938339527,0.34644438372608005
covtype_binary_20000,43,random_400,400,0.13031484092412104,0.07816362594987711,0.15560293202562792,0.26765194835972966
