ts,dataset,seed,model,rule_budget,elapsed_sec,done,total,remaining,eta_sec,eta_at
2026-05-19T00:51:46,covtype_binary_20000,19,rulefit,100,16.662670373916626,1,9,8,133.3,2026-05-19T00:53:59
2026-05-19T00:52:35,covtype_binary_20000,19,rulefit,200,49.04401350021362,2,9,7,229.97,2026-05-19T00:56:25
2026-05-19T01:05:02,covtype_binary_20000,19,rulefit,400,746.122163772583,3,9,6,1623.66,2026-05-19T01:32:05
2026-05-19T01:05:20,covtype_binary_20000,23,rulefit,100,18.105038166046143,4,9,5,1037.42,2026-05-19T01:22:37
2026-05-19T01:06:25,covtype_binary_20000,23,rulefit,200,65.47072196006775,5,9,4,716.32,2026-05-19T01:18:22
2026-05-19T01:15:00,covtype_binary_20000,23,rulefit,400,514.2272551059723,6,9,3,704.82,2026-05-19T01:26:45
2026-05-19T01:15:17,covtype_binary_20000,29,rulefit,100,16.797409057617188,7,9,2,407.55,2026-05-19T01:22:04
2026-05-19T01:16:00,covtype_binary_20000,29,rulefit,200,43.27909541130066,8,9,1,183.71,2026-05-19T01:19:04
2026-05-19T01:25:58,covtype_binary_20000,29,rulefit,400,597.6017279624939,9,9,0,0.0,
